date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-19,07:30:48,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0216,0.035,0.0566,S20260419_072948
2026-04-19,07:31:49,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0925,0.0262,0.1187,S20260419_072948
2026-04-19,07:32:49,Dimanche,Matin tôt (05h-09h),Connecté,1,0.003,0.0052,0.0082,S20260419_072948
2026-04-19,07:33:49,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0051,0.0068,0.0119,S20260419_072948
2026-04-19,07:34:49,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0028,0.0051,0.0079,S20260419_072948
2026-04-19,07:35:49,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0061,0.0103,S20260419_072948
2026-04-19,07:36:49,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0849,0.0123,0.0972,S20260419_072948
2026-04-19,07:37:52,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0039,0.006,0.0099,S20260419_072948
2026-04-19,07:38:53,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0052,0.0066,0.0118,S20260419_072948
2026-04-19,07:39:53,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0028,0.0051,0.0079,S20260419_072948
2026-04-19,07:40:53,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0063,0.0105,S20260419_072948
2026-04-19,07:41:53,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0847,0.0118,0.0965,S20260419_072948
2026-04-19,07:42:53,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0044,0.0063,0.0107,S20260419_072948
2026-04-19,07:43:53,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0037,0.0056,0.0093,S20260419_072948
2026-04-19,07:44:54,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0061,0.0103,S20260419_072948
2026-04-19,07:45:55,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0061,0.0103,S20260419_072948
2026-04-19,07:46:55,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0957,0.0161,0.1118,S20260419_072948
2026-04-19,07:47:56,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0044,0.0064,0.0108,S20260419_072948
2026-04-19,07:48:56,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0038,0.0057,0.0095,S20260419_072948
2026-04-19,07:49:57,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0043,0.0062,0.0105,S20260419_072948
2026-04-19,07:50:58,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0061,0.0103,S20260419_072948
2026-04-19,07:51:58,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0774,0.0168,0.0942,S20260419_072948
2026-04-19,07:52:59,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0029,0.0051,0.008,S20260419_072948
2026-04-19,07:53:59,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0159,0.0101,0.026,S20260419_072948
2026-04-19,07:55:00,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0061,0.0103,S20260419_072948
2026-04-19,07:56:00,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0062,0.0104,S20260419_072948
2026-04-19,07:57:00,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0949,0.0148,0.1097,S20260419_072948
2026-04-19,07:58:01,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0043,0.0064,0.0107,S20260419_072948
2026-04-19,07:59:02,Dimanche,Matin tôt (05h-09h),Connecté,1,0.005,0.0068,0.0118,S20260419_072948
2026-04-19,08:00:02,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0029,0.0052,0.0081,S20260419_072948
2026-04-19,08:01:03,Dimanche,Matin tôt (05h-09h),Connecté,1,0.005,0.0068,0.0118,S20260419_072948
2026-04-19,08:02:03,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0838,0.0115,0.0953,S20260419_072948
2026-04-19,08:03:03,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0062,0.0104,S20260419_072948
2026-04-19,08:04:04,Dimanche,Matin tôt (05h-09h),Connecté,1,0.005,0.0066,0.0116,S20260419_072948
2026-04-19,08:05:04,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0029,0.0051,0.008,S20260419_072948
2026-04-19,08:06:04,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0042,0.0061,0.0103,S20260419_072948
2026-04-19,08:07:05,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0507,0.0143,0.065,S20260419_072948
2026-04-19,08:08:06,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0486,0.0078,0.0564,S20260419_072948
2026-04-19,08:09:06,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0046,0.0064,0.011,S20260419_072948
2026-04-19,08:10:06,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0029,0.0051,0.008,S20260419_072948
2026-04-19,08:11:06,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0045,0.0063,0.0108,S20260419_072948
2026-04-19,08:12:07,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0055,0.0074,0.0129,S20260419_072948
2026-04-19,08:13:07,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0761,0.0156,0.0917,S20260419_072948
2026-04-19,08:14:07,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0046,0.0064,0.011,S20260419_072948
2026-04-19,08:15:07,Dimanche,Matin tôt (05h-09h),Connecté,1,0.003,0.0053,0.0083,S20260419_072948
2026-04-19,08:16:08,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0045,0.0064,0.0109,S20260419_072948
2026-04-19,08:17:08,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0048,0.0066,0.0114,S20260419_072948
2026-04-19,08:18:09,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0948,0.0154,0.1102,S20260419_072948
2026-04-19,08:19:09,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0054,0.0074,0.0128,S20260419_072948
2026-04-19,08:20:09,Dimanche,Matin tôt (05h-09h),Connecté,1,0.003,0.0053,0.0083,S20260419_072948
2026-04-19,08:21:09,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0044,0.0063,0.0107,S20260419_072948
2026-04-19,08:22:09,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0046,0.0064,0.011,S20260419_072948
2026-04-19,08:23:09,Dimanche,Matin tôt (05h-09h),Connecté,1,0.1022,0.0184,0.1206,S20260419_072948
2026-04-19,08:24:09,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0142,0.0087,0.0229,S20260419_072948
2026-04-19,08:25:10,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0172,0.0124,0.0296,S20260419_072948
