date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-19,01:51:07,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0271,0.0285,0.0556,S20260419_015007
2026-04-19,01:51:36,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0382,0.0263,0.0645,S20260419_015036
2026-04-19,01:52:08,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.018,0.0211,0.0391,S20260419_015007
2026-04-19,01:52:36,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0063,0.0114,0.0177,S20260419_015036
2026-04-19,01:53:08,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0465,0.0398,0.0863,S20260419_015007
2026-04-19,01:53:37,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.1241,0.0662,0.1903,S20260419_015036
2026-04-19,01:54:08,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0907,0.0493,0.14,S20260419_015007
2026-04-19,01:54:37,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0126,0.0229,0.0355,S20260419_015036
2026-04-19,01:55:08,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0137,0.0183,0.032,S20260419_015007
2026-04-19,01:55:37,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0139,0.0182,0.0321,S20260419_015036
2026-04-19,01:56:08,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.029,0.0206,0.0496,S20260419_015007
2026-04-19,01:56:59,Dimanche,Nuit profonde (00h-05h),Déconnecté,1,0.1888,0.0692,0.258,S20260419_015036
2026-04-19,01:57:30,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.2394,0.157,0.3964,S20260419_015007
2026-04-19,01:57:59,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.1092,0.1367,0.2459,S20260419_015036
2026-04-19,01:58:31,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.035,0.0399,0.0749,S20260419_015007
2026-04-19,01:59:00,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0922,0.0261,0.1183,S20260419_015036
2026-04-19,01:59:31,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0945,0.0312,0.1257,S20260419_015007
