date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,21:04:02,Samedi,Nuit (21h-00h),Déconnecté,1,0.0327,0.0884,0.1211,S20260418_210259
2026-04-18,21:05:02,Samedi,Nuit (21h-00h),Connecté,1,0.0756,0.0584,0.134,S20260418_210259
2026-04-18,21:06:02,Samedi,Nuit (21h-00h),Connecté,1,0.1503,0.0934,0.2437,S20260418_210259
2026-04-18,21:07:02,Samedi,Nuit (21h-00h),Connecté,1,0.1754,0.1782,0.3536,S20260418_210601
2026-04-18,21:07:03,Samedi,Nuit (21h-00h),Connecté,1,0.182,0.1813,0.3633,S20260418_210259
2026-04-18,21:08:47,Samedi,Nuit (21h-00h),Connecté,1,0.0146,0.0151,0.0297,S20260418_210747
2026-04-18,21:09:47,Samedi,Nuit (21h-00h),Connecté,1,0.0596,0.0659,0.1255,S20260418_210747
2026-04-18,21:10:47,Samedi,Nuit (21h-00h),Connecté,1,0.0051,0.0066,0.0117,S20260418_210747
2026-04-18,21:11:47,Samedi,Nuit (21h-00h),Connecté,1,0.0987,0.0269,0.1256,S20260418_210747
2026-04-18,21:12:48,Samedi,Nuit (21h-00h),Connecté,1,0.0211,0.02,0.0411,S20260418_210747
2026-04-18,21:13:48,Samedi,Nuit (21h-00h),Connecté,1,0.0142,0.0101,0.0243,S20260418_210747
2026-04-18,21:14:48,Samedi,Nuit (21h-00h),Connecté,1,0.004,0.0051,0.0091,S20260418_210747
2026-04-18,21:15:48,Samedi,Nuit (21h-00h),Connecté,1,0.0078,0.0053,0.0131,S20260418_210747
2026-04-18,21:16:47,Samedi,Nuit (21h-00h),Connecté,1,0.0969,0.0267,0.1236,S20260418_210747
2026-04-18,21:17:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0109,0.0154,0.0263,S20260418_210747
2026-04-18,21:18:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0776,0.0776,0.1552,S20260418_210747
2026-04-18,21:19:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0709,0.0709,0.1418,S20260418_210747
2026-04-18,21:20:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0726,0.0726,0.1452,S20260418_210747
2026-04-18,21:21:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0807,0.0807,0.1614,S20260418_210747
2026-04-18,21:22:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0791,0.0791,0.1582,S20260418_210747
2026-04-18,21:23:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0679,0.0679,0.1358,S20260418_210747
2026-04-18,21:24:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0705,0.0705,0.141,S20260418_210747
2026-04-18,21:25:47,Samedi,Nuit (21h-00h),Connecté,1,0.1065,0.1709,0.2774,S20260418_210747
2026-04-18,21:26:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0161,0.0163,0.0324,S20260418_210747
2026-04-18,21:27:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0056,0.0056,0.0112,S20260418_210747
2026-04-18,21:28:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.036,0.036,0.072,S20260418_210747
2026-04-18,21:29:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0683,0.0683,0.1366,S20260418_210747
2026-04-18,21:30:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0714,0.0714,0.1428,S20260418_210747
2026-04-18,21:31:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0796,0.0796,0.1592,S20260418_210747
2026-04-18,21:32:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0727,0.0727,0.1454,S20260418_210747
2026-04-18,21:33:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0695,0.0695,0.139,S20260418_210747
2026-04-18,21:34:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0716,0.0716,0.1432,S20260418_210747
2026-04-18,21:35:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0813,0.0813,0.1626,S20260418_210747
2026-04-18,21:36:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0811,0.0811,0.1622,S20260418_210747
2026-04-18,21:37:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0732,0.0732,0.1464,S20260418_210747
2026-04-18,21:38:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0706,0.0706,0.1412,S20260418_210747
2026-04-18,21:39:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0681,0.0681,0.1362,S20260418_210747
2026-04-18,21:40:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0705,0.0705,0.141,S20260418_210747
2026-04-18,21:41:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0764,0.0764,0.1528,S20260418_210747
2026-04-18,21:42:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0743,0.0743,0.1486,S20260418_210747
2026-04-18,21:43:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0687,0.0687,0.1374,S20260418_210747
2026-04-18,21:44:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0725,0.0725,0.145,S20260418_210747
2026-04-18,21:45:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0723,0.0723,0.1446,S20260418_210747
2026-04-18,21:46:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0853,0.0853,0.1706,S20260418_210747
2026-04-18,21:47:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0732,0.0732,0.1464,S20260418_210747
2026-04-18,21:48:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0711,0.0711,0.1422,S20260418_210747
2026-04-18,21:49:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0699,0.0699,0.1398,S20260418_210747
2026-04-18,21:50:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0711,0.0711,0.1422,S20260418_210747
2026-04-18,21:51:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0802,0.0802,0.1604,S20260418_210747
2026-04-18,21:52:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0743,0.0743,0.1486,S20260418_210747
2026-04-18,21:53:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0687,0.0687,0.1374,S20260418_210747
2026-04-18,21:54:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0711,0.0711,0.1422,S20260418_210747
2026-04-18,21:55:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.071,0.071,0.142,S20260418_210747
2026-04-18,21:56:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0837,0.0837,0.1674,S20260418_210747
2026-04-18,21:57:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0732,0.0732,0.1464,S20260418_210747
2026-04-18,21:58:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0711,0.0711,0.1422,S20260418_210747
2026-04-18,21:59:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0687,0.0687,0.1374,S20260418_210747
2026-04-18,22:00:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0722,0.0722,0.1444,S20260418_210747
2026-04-18,22:01:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0813,0.0813,0.1626,S20260418_210747
2026-04-18,22:02:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0733,0.0733,0.1466,S20260418_210747
2026-04-18,22:03:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0687,0.0687,0.1374,S20260418_210747
2026-04-18,22:04:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0711,0.0711,0.1422,S20260418_210747
2026-04-18,22:05:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0869,0.0869,0.1738,S20260418_210747
2026-04-18,22:06:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0868,0.0868,0.1736,S20260418_210747
2026-04-18,22:07:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0743,0.0743,0.1486,S20260418_210747
2026-04-18,22:08:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0709,0.0709,0.1418,S20260418_210747
2026-04-18,22:09:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0689,0.0689,0.1378,S20260418_210747
2026-04-18,22:10:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0711,0.0711,0.1422,S20260418_210747
2026-04-18,22:11:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0813,0.0813,0.1626,S20260418_210747
2026-04-18,22:12:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0731,0.0731,0.1462,S20260418_210747
2026-04-18,22:13:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0689,0.0689,0.1378,S20260418_210747
2026-04-18,22:14:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0711,0.0711,0.1422,S20260418_210747
2026-04-18,22:15:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.071,0.071,0.142,S20260418_210747
2026-04-18,22:16:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0837,0.0837,0.1674,S20260418_210747
2026-04-18,22:17:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0743,0.0743,0.1486,S20260418_210747
2026-04-18,22:18:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0711,0.0711,0.1422,S20260418_210747
2026-04-19,04:21:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.564,0.2008,0.7648,S20260418_210747
2026-04-19,04:22:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.1577,0.3102,0.4679,S20260418_210747
2026-04-19,04:23:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.2044,0.0985,0.3029,S20260418_210747
2026-04-19,04:24:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0722,0.0749,0.1471,S20260418_210747
2026-04-19,04:25:12,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.1018,0.0729,0.1747,S20260418_210747
2026-04-19,04:26:12,Dimanche,Nuit profonde (00h-05h),Connecté,1,3.9497,0.3665,4.3162,S20260418_210747
2026-04-19,04:27:12,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0796,0.059,0.1386,S20260418_210747
2026-04-19,04:28:12,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.2198,0.1329,0.3527,S20260418_210747
2026-04-19,04:29:13,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0702,0.0732,0.1434,S20260418_210747
2026-04-19,04:30:13,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.2119,0.1674,0.3793,S20260418_210747
2026-04-19,04:31:13,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0486,0.0519,0.1005,S20260418_210747
2026-04-19,04:32:13,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.2998,0.1105,0.4103,S20260418_210747
2026-04-19,04:33:14,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.8791,0.0512,0.9303,S20260418_210747
2026-04-19,04:34:14,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0037,0.0065,0.0102,S20260418_210747
2026-04-19,04:35:14,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0073,0.0064,0.0137,S20260418_210747
2026-04-19,04:36:14,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0201,0.0193,0.0394,S20260418_210747
2026-04-19,04:37:15,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0454,0.0258,0.0712,S20260418_210747
2026-04-19,04:38:15,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.1084,0.0266,0.135,S20260418_210747
2026-04-19,04:39:15,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.007,0.0159,0.0229,S20260418_210747
2026-04-19,04:40:15,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0058,0.0057,0.0115,S20260418_210747
2026-04-19,04:41:16,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0105,0.0112,0.0217,S20260418_210747
2026-04-19,04:42:16,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0089,0.0093,0.0182,S20260418_210747
2026-04-19,04:43:18,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0905,0.0246,0.1151,S20260418_210747
2026-04-19,04:44:20,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0036,0.0051,0.0087,S20260418_210747
2026-04-19,04:45:20,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0037,0.0056,0.0093,S20260418_210747
2026-04-19,04:46:21,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0152,0.0174,0.0326,S20260418_210747
2026-04-19,04:47:21,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0084,0.0088,0.0172,S20260418_210747
2026-04-19,04:48:21,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.1222,0.0991,0.2213,S20260418_210747
2026-04-19,04:49:21,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0074,0.0121,0.0195,S20260418_210747
2026-04-19,04:50:23,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.038,0.0102,0.0482,S20260418_210747
2026-04-19,04:51:24,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0363,0.0276,0.0639,S20260418_210747
2026-04-19,04:52:24,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0105,0.0149,0.0254,S20260418_210747
2026-04-19,04:53:25,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.089,0.026,0.115,S20260418_210747
