date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,18:58:22,Samedi,Soirée (18h-21h),Déconnecté,1,0.1191,0.2298,0.3489,S20260418_185616
2026-04-18,18:58:35,Samedi,Soirée (18h-21h),Déconnecté,1,0.0838,0.2308,0.3146,S20260418_185732
2026-04-18,18:59:25,Samedi,Soirée (18h-21h),Déconnecté,1,0.0619,0.1457,0.2076,S20260418_185616
2026-04-18,18:59:38,Samedi,Soirée (18h-21h),Déconnecté,1,0.0602,0.1129,0.1731,S20260418_185732
2026-04-18,19:00:28,Samedi,Soirée (18h-21h),Déconnecté,1,0.0117,0.0354,0.0471,S20260418_185616
2026-04-18,19:00:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.0134,0.0464,0.0598,S20260418_185732
2026-04-18,19:01:31,Samedi,Soirée (18h-21h),Déconnecté,1,0.0488,0.1134,0.1622,S20260418_185616
2026-04-18,19:01:44,Samedi,Soirée (18h-21h),Déconnecté,1,0.0528,0.1157,0.1685,S20260418_185732
2026-04-18,19:02:34,Samedi,Soirée (18h-21h),Déconnecté,1,0.1418,0.151,0.2928,S20260418_185616
2026-04-18,19:02:47,Samedi,Soirée (18h-21h),Déconnecté,1,0.1368,0.1396,0.2764,S20260418_185732
2026-04-18,19:03:37,Samedi,Soirée (18h-21h),Déconnecté,1,0.0371,0.0598,0.0969,S20260418_185616
2026-04-18,19:03:50,Samedi,Soirée (18h-21h),Déconnecté,1,0.0483,0.077,0.1253,S20260418_185732
2026-04-18,19:04:38,Samedi,Soirée (18h-21h),Connecté,1,0.1474,0.1461,0.2935,S20260418_185616
2026-04-18,19:04:51,Samedi,Soirée (18h-21h),Connecté,1,0.4313,0.154,0.5853,S20260418_185732
2026-04-18,19:05:38,Samedi,Soirée (18h-21h),Connecté,1,0.3119,0.0433,0.3552,S20260418_185616
2026-04-18,19:05:51,Samedi,Soirée (18h-21h),Connecté,1,0.0173,0.0141,0.0314,S20260418_185732
2026-04-18,19:06:39,Samedi,Soirée (18h-21h),Connecté,1,0.0218,0.0169,0.0387,S20260418_185616
2026-04-18,19:06:54,Samedi,Soirée (18h-21h),Déconnecté,1,0.0196,0.0169,0.0365,S20260418_185732
2026-04-18,19:07:40,Samedi,Soirée (18h-21h),Connecté,1,0.0123,0.0095,0.0218,S20260418_185616
2026-04-18,19:07:57,Samedi,Soirée (18h-21h),Déconnecté,1,0.0185,0.0108,0.0293,S20260418_185732
2026-04-18,19:08:40,Samedi,Soirée (18h-21h),Connecté,1,0.1112,0.0517,0.1629,S20260418_185616
2026-04-18,19:08:58,Samedi,Soirée (18h-21h),Connecté,1,0.1061,0.0499,0.156,S20260418_185732
2026-04-18,19:09:43,Samedi,Soirée (18h-21h),Déconnecté,1,0.0108,0.0166,0.0274,S20260418_185616
