date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,21:39:54,Samedi,Nuit (21h-00h),Connecté,1,0.0064,0.0066,0.013,S20260418_213854
2026-04-18,21:41:46,Samedi,Nuit (21h-00h),Connecté,1,0.0012,0.0018,0.003,S20260418_214046
2026-04-18,21:42:46,Samedi,Nuit (21h-00h),Connecté,1,0.0011,0.0017,0.0028,S20260418_214046
2026-04-18,21:43:46,Samedi,Nuit (21h-00h),Connecté,1,0.1955,0.3022,0.4977,S20260418_214046
2026-04-18,21:44:47,Samedi,Nuit (21h-00h),Connecté,1,1.5821,0.2574,1.8395,S20260418_214046
2026-04-18,21:45:47,Samedi,Nuit (21h-00h),Connecté,1,1.025,0.0863,1.1113,S20260418_214046
2026-04-18,21:46:47,Samedi,Nuit (21h-00h),Connecté,1,1.4782,0.8025,2.2807,S20260418_214046
2026-04-18,21:47:48,Samedi,Nuit (21h-00h),Connecté,1,1.0412,0.8497,1.8909,S20260418_214046
2026-04-18,21:48:48,Samedi,Nuit (21h-00h),Connecté,1,0.7966,0.5298,1.3264,S20260418_214046
2026-04-18,21:49:48,Samedi,Nuit (21h-00h),Connecté,1,0.7521,0.9792,1.7313,S20260418_214046
2026-04-18,21:50:48,Samedi,Nuit (21h-00h),Connecté,1,0.3464,0.3175,0.6639,S20260418_214046
2026-04-18,21:51:49,Samedi,Nuit (21h-00h),Connecté,1,0.1412,0.3484,0.4896,S20260418_214046
2026-04-18,21:52:49,Samedi,Nuit (21h-00h),Connecté,1,0.0399,0.0993,0.1392,S20260418_214046
2026-04-18,21:53:49,Samedi,Nuit (21h-00h),Connecté,1,0.0099,0.0337,0.0436,S20260418_214046
2026-04-18,21:54:49,Samedi,Nuit (21h-00h),Connecté,1,0.0089,0.0214,0.0303,S20260418_214046
2026-04-18,21:55:50,Samedi,Nuit (21h-00h),Connecté,1,0.0048,0.0284,0.0332,S20260418_214046
2026-04-18,21:56:50,Samedi,Nuit (21h-00h),Connecté,1,0.0163,0.0569,0.0732,S20260418_214046
2026-04-18,21:57:50,Samedi,Nuit (21h-00h),Connecté,1,0.0367,0.0406,0.0773,S20260418_214046
2026-04-18,21:58:50,Samedi,Nuit (21h-00h),Connecté,1,0.0135,0.0203,0.0338,S20260418_214046
2026-04-18,21:59:51,Samedi,Nuit (21h-00h),Connecté,1,0.0152,0.0385,0.0537,S20260418_214046
2026-04-18,22:00:51,Samedi,Nuit (21h-00h),Connecté,1,0.0037,0.0122,0.0159,S20260418_214046
2026-04-18,22:01:51,Samedi,Nuit (21h-00h),Connecté,1,0.0037,0.0123,0.016,S20260418_214046
2026-04-18,22:02:51,Samedi,Nuit (21h-00h),Connecté,1,0.003,0.0114,0.0144,S20260418_214046
2026-04-18,22:03:52,Samedi,Nuit (21h-00h),Connecté,1,0.0063,0.0118,0.0181,S20260418_214046
2026-04-18,22:04:52,Samedi,Nuit (21h-00h),Connecté,1,0.0031,0.0113,0.0144,S20260418_214046
2026-04-18,22:05:52,Samedi,Nuit (21h-00h),Connecté,1,0.1689,0.3531,0.522,S20260418_214046
2026-04-18,22:06:52,Samedi,Nuit (21h-00h),Connecté,1,0.0483,0.212,0.2603,S20260418_214046
2026-04-18,22:07:53,Samedi,Nuit (21h-00h),Connecté,1,0.0048,0.0373,0.0421,S20260418_214046
2026-04-18,22:08:53,Samedi,Nuit (21h-00h),Connecté,1,0.0028,0.0109,0.0137,S20260418_214046
2026-04-18,22:09:53,Samedi,Nuit (21h-00h),Connecté,1,0.0035,0.0282,0.0317,S20260418_214046
2026-04-18,22:10:53,Samedi,Nuit (21h-00h),Connecté,1,0.0024,0.0102,0.0126,S20260418_214046
2026-04-18,22:11:54,Samedi,Nuit (21h-00h),Connecté,1,0.004,0.0211,0.0251,S20260418_214046
2026-04-18,22:12:54,Samedi,Nuit (21h-00h),Connecté,1,0.0049,0.0112,0.0161,S20260418_214046
2026-04-18,22:13:54,Samedi,Nuit (21h-00h),Connecté,1,0.008,0.0288,0.0368,S20260418_214046
2026-04-18,22:14:54,Samedi,Nuit (21h-00h),Connecté,1,0.003,0.0105,0.0135,S20260418_214046
2026-04-18,22:15:54,Samedi,Nuit (21h-00h),Connecté,1,0.0024,0.0108,0.0132,S20260418_214046
2026-04-18,22:16:55,Samedi,Nuit (21h-00h),Connecté,1,0.0033,0.0115,0.0148,S20260418_214046
2026-04-18,22:17:55,Samedi,Nuit (21h-00h),Connecté,1,0.0121,0.0254,0.0375,S20260418_214046
2026-04-18,22:18:55,Samedi,Nuit (21h-00h),Connecté,1,0.0029,0.0188,0.0217,S20260418_214046
2026-04-18,22:19:56,Samedi,Nuit (21h-00h),Connecté,1,0.0034,0.0109,0.0143,S20260418_214046
2026-04-18,22:20:56,Samedi,Nuit (21h-00h),Connecté,1,0.009,0.02,0.029,S20260418_214046
2026-04-18,22:21:56,Samedi,Nuit (21h-00h),Connecté,1,0.0126,0.0412,0.0538,S20260418_214046
2026-04-18,22:22:56,Samedi,Nuit (21h-00h),Connecté,1,0.009,0.0287,0.0377,S20260418_214046
2026-04-18,22:23:57,Samedi,Nuit (21h-00h),Connecté,1,0.0036,0.012,0.0156,S20260418_214046
2026-04-18,22:24:57,Samedi,Nuit (21h-00h),Connecté,1,0.0029,0.0109,0.0138,S20260418_214046
