date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,21:21:10,Samedi,Nuit (21h-00h),Connecté,1,0.0913,0.4083,0.4996,S20260418_212009
2026-04-18,21:22:10,Samedi,Nuit (21h-00h),Connecté,1,0.141,0.38,0.521,S20260418_212009
2026-04-18,21:23:11,Samedi,Nuit (21h-00h),Connecté,1,0.1218,0.0377,0.1595,S20260418_212009
2026-04-18,21:24:11,Samedi,Nuit (21h-00h),Connecté,1,0.1227,0.0381,0.1608,S20260418_212009
2026-04-18,21:25:11,Samedi,Nuit (21h-00h),Connecté,1,0.0106,0.0135,0.0241,S20260418_212009
2026-04-18,21:26:12,Samedi,Nuit (21h-00h),Connecté,1,0.0085,0.0135,0.022,S20260418_212009
2026-04-18,21:27:12,Samedi,Nuit (21h-00h),Connecté,1,0.0027,0.0035,0.0062,S20260418_212009
2026-04-18,21:28:12,Samedi,Nuit (21h-00h),Connecté,1,0.0687,0.0446,0.1133,S20260418_212009
2026-04-18,21:29:13,Samedi,Nuit (21h-00h),Connecté,1,0.0148,0.0164,0.0312,S20260418_212009
2026-04-18,21:30:14,Samedi,Nuit (21h-00h),Connecté,1,0.0116,0.0092,0.0208,S20260418_212009
2026-04-18,21:31:14,Samedi,Nuit (21h-00h),Connecté,1,0.0116,0.0051,0.0167,S20260418_212009
2026-04-18,21:32:14,Samedi,Nuit (21h-00h),Connecté,1,0.0038,0.0041,0.0079,S20260418_212009
2026-04-18,21:33:15,Samedi,Nuit (21h-00h),Connecté,1,0.0058,0.0031,0.0089,S20260418_212009
2026-04-18,21:34:15,Samedi,Nuit (21h-00h),Connecté,1,0.0101,0.0063,0.0164,S20260418_212009
2026-04-18,21:35:16,Samedi,Nuit (21h-00h),Connecté,1,0.0059,0.0026,0.0085,S20260418_212009
2026-04-18,21:36:16,Samedi,Nuit (21h-00h),Connecté,1,0.008,0.0038,0.0118,S20260418_212009
2026-04-18,21:37:16,Samedi,Nuit (21h-00h),Connecté,1,0.0062,0.0027,0.0089,S20260418_212009
2026-04-18,21:38:17,Samedi,Nuit (21h-00h),Connecté,1,0.0333,0.0354,0.0687,S20260418_212009
2026-04-18,21:39:20,Samedi,Nuit (21h-00h),Déconnecté,1,0.0158,0.0156,0.0314,S20260418_212009
2026-04-18,21:40:20,Samedi,Nuit (21h-00h),Connecté,1,0.0163,0.0208,0.0371,S20260418_212009
2026-04-18,21:41:21,Samedi,Nuit (21h-00h),Connecté,1,0.0384,0.0444,0.0828,S20260418_212009
2026-04-18,21:42:24,Samedi,Nuit (21h-00h),Déconnecté,1,0.0252,0.0156,0.0408,S20260418_212009
2026-04-18,21:43:25,Samedi,Nuit (21h-00h),Connecté,1,0.0043,0.0047,0.009,S20260418_212009
2026-04-18,21:44:25,Samedi,Nuit (21h-00h),Connecté,1,0.01,0.0159,0.0259,S20260418_212009
2026-04-18,21:45:25,Samedi,Nuit (21h-00h),Connecté,1,0.0423,0.0109,0.0532,S20260418_212009
2026-04-18,21:46:26,Samedi,Nuit (21h-00h),Connecté,1,0.0206,0.0181,0.0387,S20260418_212009
2026-04-18,21:47:26,Samedi,Nuit (21h-00h),Connecté,1,0.1416,0.0102,0.1518,S20260418_212009
2026-04-18,21:48:27,Samedi,Nuit (21h-00h),Connecté,1,0.0259,0.03,0.0559,S20260418_212009
2026-04-18,21:49:27,Samedi,Nuit (21h-00h),Connecté,1,0.0102,0.008,0.0182,S20260418_212009
2026-04-18,21:50:28,Samedi,Nuit (21h-00h),Connecté,1,0.0047,0.0052,0.0099,S20260418_212009
2026-04-18,21:51:31,Samedi,Nuit (21h-00h),Déconnecté,1,0.0065,0.0037,0.0102,S20260418_212009
2026-04-18,21:52:34,Samedi,Nuit (21h-00h),Déconnecté,1,0.0032,0.0396,0.0428,S20260418_212009
2026-04-18,21:53:35,Samedi,Nuit (21h-00h),Connecté,1,0.105,0.0741,0.1791,S20260418_212009
2026-04-18,21:54:36,Samedi,Nuit (21h-00h),Connecté,1,0.0121,0.009,0.0211,S20260418_212009
2026-04-18,21:55:37,Samedi,Nuit (21h-00h),Connecté,1,0.0099,0.0079,0.0178,S20260418_212009
2026-04-18,21:56:38,Samedi,Nuit (21h-00h),Connecté,1,0.0037,0.0043,0.008,S20260418_212009
