date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,21:06:59,Samedi,Nuit (21h-00h),Connecté,1,0.1626,0.168,0.3306,S20260418_210559
2026-04-18,21:07:59,Samedi,Nuit (21h-00h),Connecté,1,0.108,0.292,0.4,S20260418_210559
2026-04-18,21:08:59,Samedi,Nuit (21h-00h),Connecté,1,0.1607,0.179,0.3397,S20260418_210559
2026-04-18,21:09:59,Samedi,Nuit (21h-00h),Connecté,1,1.058,0.9655,2.0235,S20260418_210559
2026-04-18,21:10:59,Samedi,Nuit (21h-00h),Connecté,1,7.7544,0.5976,8.352,S20260418_210559
2026-04-18,21:11:59,Samedi,Nuit (21h-00h),Connecté,1,2.4369,0.1817,2.6186,S20260418_210559
2026-04-18,21:12:59,Samedi,Nuit (21h-00h),Connecté,1,5.4306,0.1755,5.6061,S20260418_210559
2026-04-18,21:13:59,Samedi,Nuit (21h-00h),Connecté,1,0.1165,0.087,0.2035,S20260418_210559
2026-04-18,21:14:59,Samedi,Nuit (21h-00h),Connecté,1,0.1128,0.1022,0.215,S20260418_210559
2026-04-18,21:15:59,Samedi,Nuit (21h-00h),Connecté,1,1.3799,0.1298,1.5097,S20260418_210559
2026-04-18,21:16:59,Samedi,Nuit (21h-00h),Connecté,1,0.2125,0.4776,0.6901,S20260418_210559
2026-04-18,21:17:59,Samedi,Nuit (21h-00h),Connecté,1,0.0646,0.2135,0.2781,S20260418_210559
2026-04-18,21:18:59,Samedi,Nuit (21h-00h),Connecté,1,0.171,0.341,0.512,S20260418_210559
2026-04-18,21:19:59,Samedi,Nuit (21h-00h),Connecté,1,0.279,0.6664,0.9454,S20260418_210559
2026-04-18,21:20:59,Samedi,Nuit (21h-00h),Connecté,1,0.1077,0.1734,0.2811,S20260418_210559
2026-04-18,21:21:59,Samedi,Nuit (21h-00h),Connecté,1,0.0949,0.1186,0.2135,S20260418_210559
2026-04-18,21:22:12,Samedi,Nuit (21h-00h),Connecté,1,0.1061,0.1279,0.234,S20260418_212112
