date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-20,17:01:04,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0284,0.1746,0.203,S20260420_170001
2026-04-20,17:02:06,Lundi,Après-midi (14h-18h),Connecté,1,0.0424,0.1957,0.2381,S20260420_170001
2026-04-20,17:03:07,Lundi,Après-midi (14h-18h),Connecté,1,0.0668,0.2104,0.2772,S20260420_170001
2026-04-20,17:04:10,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0535,0.1571,0.2106,S20260420_170001
2026-04-20,17:05:13,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0739,0.196,0.2699,S20260420_170001
2026-04-20,17:06:17,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0005,0.0017,0.0022,S20260420_170001
2026-04-20,17:07:20,Lundi,Après-midi (14h-18h),Déconnecté,1,0.1073,0.2498,0.3571,S20260420_170001
2026-04-20,17:08:21,Lundi,Après-midi (14h-18h),Connecté,1,0.1248,0.2718,0.3966,S20260420_170001
2026-04-20,17:09:24,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0378,0.1255,0.1633,S20260420_170001
2026-04-20,17:10:27,Lundi,Après-midi (14h-18h),Déconnecté,1,0.2019,0.234,0.4359,S20260420_170001
2026-04-20,17:11:27,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:12:27,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:13:27,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:14:27,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:15:27,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:16:30,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0217,0.0271,0.0488,S20260420_170001
2026-04-20,17:17:33,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0321,0.034,0.0661,S20260420_170001
2026-04-20,17:18:34,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0544,0.0566,0.111,S20260420_170001
2026-04-20,17:19:37,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0015,0.0106,0.0121,S20260420_170001
2026-04-20,17:20:40,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0194,0.0338,0.0532,S20260420_170001
2026-04-20,17:21:43,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0006,0.0272,0.0278,S20260420_170001
2026-04-20,17:22:46,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0397,0.0596,0.0993,S20260420_170001
2026-04-20,17:23:49,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0306,0.0303,0.0609,S20260420_170001
2026-04-20,17:24:52,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0264,0.0262,0.0526,S20260420_170001
2026-04-20,17:25:55,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0314,0.0316,0.063,S20260420_170001
2026-04-20,17:26:58,Lundi,Après-midi (14h-18h),Déconnecté,1,0.025,0.0241,0.0491,S20260420_170001
2026-04-20,17:28:01,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0194,0.0198,0.0392,S20260420_170001
2026-04-20,17:29:04,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0384,0.039,0.0774,S20260420_170001
2026-04-20,17:30:07,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0201,0.021,0.0411,S20260420_170001
2026-04-20,17:31:10,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0285,0.0276,0.0561,S20260420_170001
2026-04-20,17:32:13,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0357,0.0326,0.0683,S20260420_170001
2026-04-20,17:33:16,Lundi,Après-midi (14h-18h),Déconnecté,1,0.03,0.0291,0.0591,S20260420_170001
2026-04-20,17:34:19,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0203,0.0204,0.0407,S20260420_170001
2026-04-20,17:35:22,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0411,0.0409,0.082,S20260420_170001
2026-04-20,17:36:25,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0334,0.0293,0.0627,S20260420_170001
2026-04-20,17:37:28,Lundi,Après-midi (14h-18h),Déconnecté,1,0.034,0.0307,0.0647,S20260420_170001
2026-04-20,17:38:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0367,0.0354,0.0721,S20260420_170001
2026-04-20,17:39:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:40:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:41:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:42:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:43:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:44:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:45:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:46:31,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:47:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:48:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:49:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:50:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:51:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:52:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:53:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:54:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:55:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:56:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:57:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:58:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,17:59:32,Lundi,Après-midi (14h-18h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:00:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:01:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:02:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:03:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:04:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:05:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:06:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:07:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:08:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:09:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:10:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:11:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:12:32,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:13:33,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:14:33,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:15:33,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:16:33,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:17:33,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
2026-04-20,18:18:33,Lundi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260420_170001
