date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,20:18:54,Samedi,Soirée (18h-21h),Connecté,1,0.0012,0.0054,0.0066,S20260418_201754
2026-04-18,20:19:55,Samedi,Soirée (18h-21h),Connecté,1,0.4893,0.6375,1.1268,S20260418_201754
2026-04-18,20:20:55,Samedi,Soirée (18h-21h),Connecté,1,0.0039,0.0189,0.0228,S20260418_201754
2026-04-18,20:21:55,Samedi,Soirée (18h-21h),Connecté,1,0.0205,0.0165,0.037,S20260418_201754
2026-04-18,20:22:56,Samedi,Soirée (18h-21h),Connecté,1,0.0031,0.0049,0.008,S20260418_201754
2026-04-18,20:23:56,Samedi,Soirée (18h-21h),Connecté,1,0.0028,0.0079,0.0107,S20260418_201754
2026-04-18,20:24:57,Samedi,Soirée (18h-21h),Connecté,1,0.0004,0.0018,0.0022,S20260418_201754
2026-04-18,20:25:57,Samedi,Soirée (18h-21h),Connecté,1,0.0011,0.0058,0.0069,S20260418_201754
2026-04-18,20:26:57,Samedi,Soirée (18h-21h),Connecté,1,0.0007,0.0014,0.0021,S20260418_201754
2026-04-18,20:27:57,Samedi,Soirée (18h-21h),Connecté,1,0.0158,0.0141,0.0299,S20260418_201754
2026-04-18,20:28:58,Samedi,Soirée (18h-21h),Connecté,1,0.0158,0.0152,0.031,S20260418_201754
2026-04-18,20:29:58,Samedi,Soirée (18h-21h),Connecté,1,0.0012,0.0025,0.0037,S20260418_201754
2026-04-18,20:30:58,Samedi,Soirée (18h-21h),Connecté,1,0.0011,0.0018,0.0029,S20260418_201754
2026-04-18,20:31:59,Samedi,Soirée (18h-21h),Connecté,1,0.0011,0.0022,0.0033,S20260418_201754
2026-04-18,20:32:59,Samedi,Soirée (18h-21h),Connecté,1,0.001,0.0015,0.0025,S20260418_201754
2026-04-18,20:33:59,Samedi,Soirée (18h-21h),Connecté,1,0.0007,0.0015,0.0022,S20260418_201754
2026-04-18,20:35:00,Samedi,Soirée (18h-21h),Connecté,1,0.0025,0.0023,0.0048,S20260418_201754
2026-04-18,20:36:00,Samedi,Soirée (18h-21h),Connecté,1,0.002,0.0044,0.0064,S20260418_201754
2026-04-18,20:37:00,Samedi,Soirée (18h-21h),Connecté,1,0.0102,0.0121,0.0223,S20260418_201754
2026-04-18,20:38:00,Samedi,Soirée (18h-21h),Connecté,1,0.0015,0.002,0.0035,S20260418_201754
2026-04-18,20:39:01,Samedi,Soirée (18h-21h),Connecté,1,0.0091,0.0115,0.0206,S20260418_201754
2026-04-18,20:40:01,Samedi,Soirée (18h-21h),Connecté,1,0.0043,0.0034,0.0077,S20260418_201754
2026-04-18,20:41:01,Samedi,Soirée (18h-21h),Connecté,1,0.0011,0.0014,0.0025,S20260418_201754
2026-04-18,20:42:01,Samedi,Soirée (18h-21h),Connecté,1,0.0013,0.0024,0.0037,S20260418_201754
2026-04-18,20:43:01,Samedi,Soirée (18h-21h),Connecté,1,0.0024,0.0018,0.0042,S20260418_201754
2026-04-18,20:44:02,Samedi,Soirée (18h-21h),Connecté,1,0.0004,0.001,0.0014,S20260418_201754
2026-04-18,20:45:02,Samedi,Soirée (18h-21h),Connecté,1,0.0006,0.0012,0.0018,S20260418_201754
2026-04-18,20:46:02,Samedi,Soirée (18h-21h),Connecté,1,0.0008,0.0013,0.0021,S20260418_201754
2026-04-18,20:47:02,Samedi,Soirée (18h-21h),Connecté,1,0.0013,0.0022,0.0035,S20260418_201754
2026-04-18,20:48:03,Samedi,Soirée (18h-21h),Connecté,1,0.0005,0.0011,0.0016,S20260418_201754
2026-04-18,20:49:03,Samedi,Soirée (18h-21h),Connecté,1,0.014,0.0116,0.0256,S20260418_201754
2026-04-18,20:50:03,Samedi,Soirée (18h-21h),Connecté,1,0.0009,0.0015,0.0024,S20260418_201754
2026-04-18,20:51:03,Samedi,Soirée (18h-21h),Connecté,1,0.0098,0.012,0.0218,S20260418_201754
2026-04-18,20:52:04,Samedi,Soirée (18h-21h),Connecté,1,0.1349,0.0194,0.1543,S20260418_201754
2026-04-18,20:53:04,Samedi,Soirée (18h-21h),Connecté,1,0.0311,0.061,0.0921,S20260418_201754
2026-04-18,20:54:04,Samedi,Soirée (18h-21h),Connecté,1,0.001,0.0014,0.0024,S20260418_201754
2026-04-18,20:55:04,Samedi,Soirée (18h-21h),Connecté,1,0.0181,0.0131,0.0312,S20260418_201754
2026-04-18,20:56:04,Samedi,Soirée (18h-21h),Connecté,1,0.0012,0.0019,0.0031,S20260418_201754
2026-04-18,20:57:05,Samedi,Soirée (18h-21h),Connecté,1,0.0054,0.0102,0.0156,S20260418_201754
2026-04-18,20:58:05,Samedi,Soirée (18h-21h),Connecté,1,0.0075,0.0107,0.0182,S20260418_201754
2026-04-18,20:59:05,Samedi,Soirée (18h-21h),Connecté,1,0.0033,0.0027,0.006,S20260418_201754
2026-04-18,21:00:05,Samedi,Nuit (21h-00h),Connecté,1,0.0075,0.0109,0.0184,S20260418_201754
2026-04-18,21:01:05,Samedi,Nuit (21h-00h),Connecté,1,0.0019,0.0023,0.0042,S20260418_201754
2026-04-18,21:02:06,Samedi,Nuit (21h-00h),Connecté,1,0.0016,0.0025,0.0041,S20260418_201754
2026-04-18,21:03:06,Samedi,Nuit (21h-00h),Connecté,1,0.0149,0.012,0.0269,S20260418_201754
