date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-21,00:01:20,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1445,0.1795,0.324,S20260421_000020
2026-04-21,00:02:23,Mardi,Nuit profonde (00h-05h),Déconnecté,1,0.0505,0.1114,0.1619,S20260421_000020
2026-04-21,00:03:23,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1643,0.2643,0.4286,S20260421_000020
2026-04-21,00:04:25,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1534,0.2822,0.4356,S20260421_000020
2026-04-21,00:05:27,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1604,0.2052,0.3656,S20260421_000020
2026-04-21,00:05:56,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1631,0.2314,0.3945,S20260421_000456
2026-04-21,00:06:27,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1139,0.1858,0.2997,S20260421_000020
2026-04-21,00:06:57,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0438,0.0529,0.0967,S20260421_000456
2026-04-21,00:07:28,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0561,0.0509,0.107,S20260421_000020
2026-04-21,00:07:57,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0621,0.0601,0.1222,S20260421_000456
2026-04-21,00:08:28,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0396,0.0426,0.0822,S20260421_000020
2026-04-21,00:08:57,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1202,0.2198,0.34,S20260421_000456
2026-04-21,00:09:08,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1251,0.2348,0.3599,S20260421_000808
2026-04-21,00:09:28,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1443,0.2782,0.4225,S20260421_000020
2026-04-21,00:09:59,Mardi,Nuit profonde (00h-05h),Connecté,1,0.059,0.1795,0.2385,S20260421_000456
2026-04-21,00:10:08,Mardi,Nuit profonde (00h-05h),Connecté,1,1.3851,0.2279,1.613,S20260421_000808
2026-04-21,00:10:28,Mardi,Nuit profonde (00h-05h),Connecté,1,1.3703,0.2627,1.633,S20260421_000020
2026-04-21,00:10:59,Mardi,Nuit profonde (00h-05h),Connecté,1,1.4404,0.2604,1.7008,S20260421_000456
2026-04-21,00:11:06,Mardi,Nuit profonde (00h-05h),Connecté,1,0.1093,0.1969,0.3062,S20260421_001005
