date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,19:32:30,Samedi,Soirée (18h-21h),Connecté,1,0.1251,0.0684,0.1935,S20260418_193130
2026-04-18,19:33:30,Samedi,Soirée (18h-21h),Connecté,1,0.0552,0.0962,0.1514,S20260418_193130
2026-04-18,19:34:31,Samedi,Soirée (18h-21h),Connecté,1,0.0201,0.0304,0.0505,S20260418_193130
2026-04-18,19:35:31,Samedi,Soirée (18h-21h),Connecté,1,0.172,0.1224,0.2944,S20260418_193130
2026-04-18,19:36:31,Samedi,Soirée (18h-21h),Connecté,1,0.0306,0.0299,0.0605,S20260418_193130
2026-04-18,19:37:31,Samedi,Soirée (18h-21h),Connecté,1,0.1418,0.0496,0.1914,S20260418_193130
2026-04-18,19:38:32,Samedi,Soirée (18h-21h),Connecté,1,0.0132,0.0113,0.0245,S20260418_193130
2026-04-18,19:39:32,Samedi,Soirée (18h-21h),Connecté,1,0.0158,0.0208,0.0366,S20260418_193130
2026-04-18,19:40:32,Samedi,Soirée (18h-21h),Connecté,1,0.0335,0.0346,0.0681,S20260418_193130
2026-04-18,19:41:34,Samedi,Soirée (18h-21h),Connecté,1,0.4929,0.1311,0.624,S20260418_193130
2026-04-18,20:01:21,Samedi,Soirée (18h-21h),Connecté,1,0.028,0.0323,0.0603,S20260418_200020
2026-04-18,20:02:21,Samedi,Soirée (18h-21h),Connecté,1,0.0314,0.0432,0.0746,S20260418_200020
2026-04-18,20:03:22,Samedi,Soirée (18h-21h),Connecté,1,0.0857,0.0231,0.1088,S20260418_200020
2026-04-18,20:04:22,Samedi,Soirée (18h-21h),Connecté,1,0.0103,0.0107,0.021,S20260418_200020
2026-04-18,20:05:22,Samedi,Soirée (18h-21h),Connecté,1,0.0143,0.0098,0.0241,S20260418_200020
2026-04-18,20:06:22,Samedi,Soirée (18h-21h),Connecté,1,0.0369,0.022,0.0589,S20260418_200020
2026-04-18,20:07:23,Samedi,Soirée (18h-21h),Connecté,1,0.029,0.023,0.052,S20260418_200020
2026-04-18,20:08:23,Samedi,Soirée (18h-21h),Connecté,1,0.101,0.028,0.129,S20260418_200020
2026-04-18,20:09:23,Samedi,Soirée (18h-21h),Connecté,1,0.0142,0.0109,0.0251,S20260418_200020
2026-04-18,20:10:24,Samedi,Soirée (18h-21h),Connecté,1,0.0199,0.0138,0.0337,S20260418_200020
2026-04-18,20:11:24,Samedi,Soirée (18h-21h),Connecté,1,0.0222,0.0135,0.0357,S20260418_200020
2026-04-18,20:12:25,Samedi,Soirée (18h-21h),Connecté,1,0.0128,0.0124,0.0252,S20260418_200020
2026-04-18,20:13:25,Samedi,Soirée (18h-21h),Connecté,1,0.1725,0.0668,0.2393,S20260418_200020
2026-04-18,20:14:25,Samedi,Soirée (18h-21h),Connecté,1,0.5997,0.2888,0.8885,S20260418_200020
2026-04-18,20:15:25,Samedi,Soirée (18h-21h),Connecté,1,0.0177,0.0278,0.0455,S20260418_200020
2026-04-18,20:16:26,Samedi,Soirée (18h-21h),Connecté,1,0.0099,0.011,0.0209,S20260418_200020
2026-04-18,20:17:26,Samedi,Soirée (18h-21h),Connecté,1,0.0166,0.0171,0.0337,S20260418_200020
2026-04-18,20:18:26,Samedi,Soirée (18h-21h),Connecté,1,0.0784,0.0201,0.0985,S20260418_200020
2026-04-18,20:19:26,Samedi,Soirée (18h-21h),Connecté,1,0.1166,0.0874,0.204,S20260418_200020
2026-04-18,20:20:26,Samedi,Soirée (18h-21h),Connecté,1,0.0135,0.0205,0.034,S20260418_200020
2026-04-18,20:21:27,Samedi,Soirée (18h-21h),Connecté,1,0.0195,0.0138,0.0333,S20260418_200020
2026-04-18,20:22:27,Samedi,Soirée (18h-21h),Connecté,1,0.0086,0.0095,0.0181,S20260418_200020
2026-04-18,20:23:27,Samedi,Soirée (18h-21h),Connecté,1,0.1194,0.0286,0.148,S20260418_200020
2026-04-18,20:24:28,Samedi,Soirée (18h-21h),Connecté,1,0.0178,0.0114,0.0292,S20260418_200020
