date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,20:59:22,Samedi,Soirée (18h-21h),Connecté,1,0.3653,0.6835,1.0488,S20260418_205822
2026-04-18,21:00:23,Samedi,Nuit (21h-00h),Connecté,1,0.1781,0.5701,0.7482,S20260418_205822
2026-04-18,21:01:24,Samedi,Nuit (21h-00h),Connecté,1,0.1509,0.4409,0.5918,S20260418_205822
2026-04-18,21:02:24,Samedi,Nuit (21h-00h),Connecté,1,0.0313,0.1256,0.1569,S20260418_205822
2026-04-18,21:03:25,Samedi,Nuit (21h-00h),Connecté,1,0.1299,0.4054,0.5353,S20260418_205822
2026-04-18,21:04:25,Samedi,Nuit (21h-00h),Connecté,1,0.0782,0.1854,0.2636,S20260418_205822
2026-04-18,21:05:01,Samedi,Nuit (21h-00h),Déconnecté,1,0.1715,0.4591,0.6306,S20260418_210358
2026-04-18,21:05:28,Samedi,Nuit (21h-00h),Connecté,1,0.1351,0.5697,0.7048,S20260418_205822
2026-04-18,21:06:01,Samedi,Nuit (21h-00h),Connecté,1,0.1362,0.6183,0.7545,S20260418_210358
2026-04-18,21:06:28,Samedi,Nuit (21h-00h),Connecté,1,0.4052,0.8161,1.2213,S20260418_205822
2026-04-18,21:07:02,Samedi,Nuit (21h-00h),Connecté,1,0.8269,1.3885,2.2154,S20260418_210358
2026-04-18,21:07:28,Samedi,Nuit (21h-00h),Connecté,1,3.1,1.5725,4.6725,S20260418_205822
2026-04-18,21:08:02,Samedi,Nuit (21h-00h),Connecté,1,3.7144,0.7723,4.4867,S20260418_210358
2026-04-18,21:08:28,Samedi,Nuit (21h-00h),Connecté,1,1.1437,0.1593,1.303,S20260418_205822
2026-04-18,21:09:02,Samedi,Nuit (21h-00h),Connecté,1,0.7949,0.5507,1.3456,S20260418_210358
2026-04-18,21:09:31,Samedi,Nuit (21h-00h),Déconnecté,1,0.8215,0.8048,1.6263,S20260418_205822
2026-04-18,21:10:05,Samedi,Nuit (21h-00h),Déconnecté,1,0.0454,0.3459,0.3913,S20260418_210358
2026-04-18,21:10:34,Samedi,Nuit (21h-00h),Déconnecté,1,0.0158,0.0825,0.0983,S20260418_205822
2026-04-18,21:11:05,Samedi,Nuit (21h-00h),Connecté,1,0.0093,0.0145,0.0238,S20260418_210358
2026-04-18,21:11:35,Samedi,Nuit (21h-00h),Connecté,1,0.0131,0.0227,0.0358,S20260418_205822
2026-04-18,21:12:08,Samedi,Nuit (21h-00h),Déconnecté,1,0.0159,0.0285,0.0444,S20260418_210358
2026-04-18,21:12:35,Samedi,Nuit (21h-00h),Connecté,1,0.011,0.018,0.029,S20260418_205822
2026-04-18,21:13:09,Samedi,Nuit (21h-00h),Connecté,1,0.0644,0.097,0.1614,S20260418_210358
2026-04-18,21:13:35,Samedi,Nuit (21h-00h),Connecté,1,0.3953,0.2466,0.6419,S20260418_205822
2026-04-18,21:14:10,Samedi,Nuit (21h-00h),Connecté,1,0.3995,0.5435,0.943,S20260418_210358
2026-04-18,21:14:36,Samedi,Nuit (21h-00h),Connecté,1,0.1434,0.4695,0.6129,S20260418_205822
2026-04-18,21:15:13,Samedi,Nuit (21h-00h),Déconnecté,1,0.4344,0.4087,0.8431,S20260418_210358
2026-04-18,21:15:39,Samedi,Nuit (21h-00h),Déconnecté,1,0.4298,0.4512,0.881,S20260418_205822
2026-04-18,21:16:13,Samedi,Nuit (21h-00h),Connecté,1,0.1328,0.4543,0.5871,S20260418_210358
2026-04-18,21:16:42,Samedi,Nuit (21h-00h),Déconnecté,1,0.0833,0.3518,0.4351,S20260418_205822
2026-04-18,21:17:16,Samedi,Nuit (21h-00h),Déconnecté,1,0.1802,0.2081,0.3883,S20260418_210358
2026-04-18,21:17:45,Samedi,Nuit (21h-00h),Déconnecté,1,0.6022,0.9328,1.535,S20260418_205822
2026-04-18,21:18:19,Samedi,Nuit (21h-00h),Déconnecté,1,0.5322,1.238,1.7702,S20260418_210358
2026-04-18,21:18:45,Samedi,Nuit (21h-00h),Connecté,1,0.1112,0.527,0.6382,S20260418_205822
2026-04-18,21:19:21,Samedi,Nuit (21h-00h),Connecté,1,0.0274,0.0359,0.0633,S20260418_210358
2026-04-18,21:19:46,Samedi,Nuit (21h-00h),Connecté,1,0.0348,0.0527,0.0875,S20260418_205822
2026-04-18,21:20:21,Samedi,Nuit (21h-00h),Connecté,1,0.3598,0.4074,0.7672,S20260418_210358
2026-04-18,21:20:47,Samedi,Nuit (21h-00h),Connecté,1,0.3707,0.6784,1.0491,S20260418_205822
2026-04-18,21:21:21,Samedi,Nuit (21h-00h),Connecté,1,0.0476,0.3284,0.376,S20260418_210358
2026-04-18,21:21:50,Samedi,Nuit (21h-00h),Déconnecté,1,0.0592,0.0932,0.1524,S20260418_205822
2026-04-18,21:22:24,Samedi,Nuit (21h-00h),Déconnecté,1,0.0764,0.3872,0.4636,S20260418_210358
2026-04-18,21:22:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0259,0.3067,0.3326,S20260418_205822
2026-04-18,21:23:28,Samedi,Nuit (21h-00h),Déconnecté,1,0.0917,0.1368,0.2285,S20260418_210358
2026-04-18,21:23:56,Samedi,Nuit (21h-00h),Déconnecté,1,0.1362,0.4745,0.6107,S20260418_205822
2026-04-18,21:24:31,Samedi,Nuit (21h-00h),Déconnecté,1,0.3521,0.6567,1.0088,S20260418_210358
2026-04-18,21:24:57,Samedi,Nuit (21h-00h),Connecté,1,0.4913,0.5318,1.0231,S20260418_205822
2026-04-18,21:25:34,Samedi,Nuit (21h-00h),Déconnecté,1,0.2547,0.3231,0.5778,S20260418_210358
2026-04-18,21:26:00,Samedi,Nuit (21h-00h),Connecté,1,0.1103,0.428,0.5383,S20260418_205822
2026-04-18,21:26:36,Samedi,Nuit (21h-00h),Connecté,1,0.1066,0.429,0.5356,S20260418_210358
2026-04-18,21:27:03,Samedi,Nuit (21h-00h),Déconnecté,1,0.1206,0.4664,0.587,S20260418_205822
2026-04-18,21:27:36,Samedi,Nuit (21h-00h),Connecté,1,0.1104,0.6995,0.8099,S20260418_210358
2026-04-18,21:28:05,Samedi,Nuit (21h-00h),Connecté,1,0.067,0.362,0.429,S20260418_205822
2026-04-18,21:28:36,Samedi,Nuit (21h-00h),Connecté,1,0.0165,0.0253,0.0418,S20260418_210358
2026-04-18,21:29:06,Samedi,Nuit (21h-00h),Connecté,1,0.0058,0.0073,0.0131,S20260418_205822
2026-04-18,21:29:36,Samedi,Nuit (21h-00h),Déconnecté,1,0.1921,0.42,0.6121,S20260418_210358
2026-04-19,13:30:10,Dimanche,Midi (12h-14h),Connecté,1,0.1201,2.8636,2.9837,S20260419_132909
2026-04-19,13:31:12,Dimanche,Midi (12h-14h),Connecté,1,0.4372,6.9565,7.3937,S20260419_132909
2026-04-19,13:32:15,Dimanche,Midi (12h-14h),Déconnecté,1,1.4031,7.5438,8.9469,S20260419_132909
2026-04-19,13:33:19,Dimanche,Midi (12h-14h),Déconnecté,1,0.2628,4.7195,4.9823,S20260419_132909
2026-04-19,13:33:32,Dimanche,Midi (12h-14h),Déconnecté,1,0.2356,4.8164,5.052,S20260419_133229
2026-04-19,13:34:22,Dimanche,Midi (12h-14h),Déconnecté,1,0.3352,6.9555,7.2907,S20260419_132909
2026-04-19,13:34:32,Dimanche,Midi (12h-14h),Connecté,1,0.2929,5.5335,5.8264,S20260419_133229
2026-04-19,13:35:22,Dimanche,Midi (12h-14h),Connecté,1,0.0254,0.0612,0.0866,S20260419_132909
2026-04-19,13:35:35,Dimanche,Midi (12h-14h),Déconnecté,1,0.0795,1.4997,1.5792,S20260419_133229
