date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-21,00:54:58,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0003,0.0004,S20260421_005358
2026-04-21,00:55:58,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0004,0.0011,0.0015,S20260421_005358
2026-04-21,00:56:58,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0007,0.0013,0.002,S20260421_005358
2026-04-21,00:58:01,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0004,0.0005,S20260421_005358
2026-04-21,00:59:02,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0002,0.0008,0.001,S20260421_005358
2026-04-21,01:00:02,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0004,0.0007,0.0011,S20260421_005358
2026-04-21,01:01:02,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0008,0.0009,S20260421_005358
2026-04-21,01:02:02,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0008,0.0017,0.0025,S20260421_005358
2026-04-21,01:03:02,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0005,0.0006,S20260421_005358
2026-04-21,01:04:02,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0006,0.0007,S20260421_005358
2026-04-21,01:05:03,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0004,0.0006,0.001,S20260421_005358
2026-04-21,01:06:03,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0005,0.0006,S20260421_005358
2026-04-21,01:07:03,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0009,0.0019,0.0028,S20260421_005358
2026-04-21,01:08:05,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0002,0.0005,0.0007,S20260421_005358
2026-04-21,01:09:08,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0002,0.001,0.0012,S20260421_005358
2026-04-21,01:10:08,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0006,0.0013,0.0019,S20260421_005358
2026-04-21,01:11:08,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0005,0.0006,S20260421_005358
2026-04-21,01:12:08,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0008,0.0019,0.0027,S20260421_005358
2026-04-21,01:13:08,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0005,0.0006,S20260421_005358
2026-04-21,01:14:09,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0003,0.0009,0.0012,S20260421_005358
2026-04-21,01:15:09,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0004,0.0007,0.0011,S20260421_005358
2026-04-21,01:16:11,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0005,0.0006,S20260421_005358
2026-04-21,01:17:11,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0008,0.0017,0.0025,S20260421_005358
2026-04-21,01:18:11,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0005,0.0006,S20260421_005358
2026-04-21,01:19:12,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0005,0.0006,S20260421_005358
2026-04-21,01:20:15,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0006,0.001,0.0016,S20260421_005358
2026-04-21,01:21:18,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0003,0.0008,0.0011,S20260421_005358
2026-04-21,01:22:21,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0011,0.002,0.0031,S20260421_005358
2026-04-21,01:23:21,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0004,0.0012,0.0016,S20260421_005358
2026-04-21,01:24:24,Mardi,Nuit profonde (00h-05h),Déconnecté,1,0.0001,0.0005,0.0006,S20260421_005358
2026-04-21,01:25:24,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0005,0.001,0.0015,S20260421_005358
2026-04-21,01:26:26,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0001,0.0007,0.0008,S20260421_005358
2026-04-21,01:27:27,Mardi,Nuit profonde (00h-05h),Connecté,1,0.0008,0.0018,0.0026,S20260421_005358
