date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,20:13:24,Samedi,Soirée (18h-21h),Connecté,1,2.7908,0.2384,3.0292,S20260418_200721
2026-04-18,20:13:43,Samedi,Soirée (18h-21h),Connecté,1,2.8026,0.2416,3.0442,S20260418_201243
2026-04-18,20:14:24,Samedi,Soirée (18h-21h),Connecté,1,2.4901,0.2419,2.732,S20260418_200721
2026-04-18,20:14:45,Samedi,Soirée (18h-21h),Connecté,1,1.7785,0.1843,1.9628,S20260418_201243
2026-04-18,20:15:27,Samedi,Soirée (18h-21h),Déconnecté,1,1.7159,0.2023,1.9182,S20260418_200721
2026-04-18,20:15:46,Samedi,Soirée (18h-21h),Connecté,1,2.3499,0.2622,2.6121,S20260418_201243
2026-04-18,20:16:28,Samedi,Soirée (18h-21h),Connecté,1,2.3725,0.2035,2.576,S20260418_200721
2026-04-18,20:16:46,Samedi,Soirée (18h-21h),Connecté,1,2.4199,0.2072,2.6271,S20260418_201243
2026-04-18,20:17:28,Samedi,Soirée (18h-21h),Connecté,1,2.7914,0.2596,3.051,S20260418_200721
2026-04-18,20:17:46,Samedi,Soirée (18h-21h),Connecté,1,2.7883,0.2284,3.0167,S20260418_201243
2026-04-18,20:18:28,Samedi,Soirée (18h-21h),Connecté,1,2.8706,0.2081,3.0787,S20260418_200721
2026-04-18,20:18:46,Samedi,Soirée (18h-21h),Connecté,1,2.8692,0.2157,3.0849,S20260418_201243
2026-04-18,20:19:28,Samedi,Soirée (18h-21h),Connecté,1,2.2312,0.1741,2.4053,S20260418_200721
2026-04-18,20:19:49,Samedi,Soirée (18h-21h),Déconnecté,1,1.9957,0.1655,2.1612,S20260418_201243
2026-04-18,20:20:28,Samedi,Soirée (18h-21h),Connecté,1,2.094,0.1654,2.2594,S20260418_200721
2026-04-18,20:20:49,Samedi,Soirée (18h-21h),Connecté,1,2.4791,0.1938,2.6729,S20260418_201243
2026-04-18,20:21:28,Samedi,Soirée (18h-21h),Connecté,1,2.8226,0.2686,3.0912,S20260418_200721
2026-04-18,20:21:50,Samedi,Soirée (18h-21h),Connecté,1,2.7559,0.3674,3.1233,S20260418_201243
2026-04-18,20:22:29,Samedi,Soirée (18h-21h),Connecté,1,2.8385,0.3914,3.2299,S20260418_200721
2026-04-18,20:22:50,Samedi,Soirée (18h-21h),Connecté,1,2.8872,0.5784,3.4656,S20260418_201243
2026-04-18,20:23:29,Samedi,Soirée (18h-21h),Connecté,1,2.8953,0.5094,3.4047,S20260418_200721
2026-04-18,20:23:50,Samedi,Soirée (18h-21h),Connecté,1,2.7903,0.2052,2.9955,S20260418_201243
2026-04-18,20:24:29,Samedi,Soirée (18h-21h),Connecté,1,1.3513,0.1109,1.4622,S20260418_200721
2026-04-18,20:24:50,Samedi,Soirée (18h-21h),Connecté,1,0.714,0.0672,0.7812,S20260418_201243
2026-04-18,20:25:32,Samedi,Soirée (18h-21h),Déconnecté,1,0.856,0.0647,0.9207,S20260418_200721
2026-04-18,20:25:50,Samedi,Soirée (18h-21h),Connecté,1,0.7188,0.0621,0.7809,S20260418_201243
2026-04-18,20:26:32,Samedi,Soirée (18h-21h),Connecté,1,0.4317,0.0538,0.4855,S20260418_200721
2026-04-18,20:26:51,Samedi,Soirée (18h-21h),Connecté,1,0.4832,0.0551,0.5383,S20260418_201243
2026-04-18,20:27:32,Samedi,Soirée (18h-21h),Connecté,1,0.5705,0.0949,0.6654,S20260418_200721
2026-04-18,20:27:51,Samedi,Soirée (18h-21h),Connecté,1,0.5809,0.4324,1.0133,S20260418_201243
2026-04-18,20:28:33,Samedi,Soirée (18h-21h),Connecté,1,0.4573,0.4431,0.9004,S20260418_200721
2026-04-18,20:28:51,Samedi,Soirée (18h-21h),Connecté,1,0.615,0.1235,0.7385,S20260418_201243
