date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,21:34:38,Samedi,Nuit (21h-00h),Connecté,1,0.0202,0.0276,0.0478,S20260418_213338
2026-04-18,21:35:41,Samedi,Nuit (21h-00h),Déconnecté,1,0.0027,0.0052,0.0079,S20260418_213338
2026-04-18,21:36:44,Samedi,Nuit (21h-00h),Déconnecté,1,0.0011,0.0033,0.0044,S20260418_213338
2026-04-18,21:37:47,Samedi,Nuit (21h-00h),Déconnecté,1,0.0609,0.0371,0.098,S20260418_213338
2026-04-18,21:38:47,Samedi,Nuit (21h-00h),Connecté,1,0.0007,0.0024,0.0031,S20260418_213338
2026-04-18,21:39:47,Samedi,Nuit (21h-00h),Connecté,1,0.0023,0.004,0.0063,S20260418_213338
2026-04-18,21:40:50,Samedi,Nuit (21h-00h),Déconnecté,1,0.0052,0.0086,0.0138,S20260418_213338
2026-04-18,21:41:50,Samedi,Nuit (21h-00h),Connecté,1,0.0015,0.0032,0.0047,S20260418_213338
2026-04-18,21:42:50,Samedi,Nuit (21h-00h),Connecté,1,0.0013,0.0025,0.0038,S20260418_213338
2026-04-18,21:43:51,Samedi,Nuit (21h-00h),Connecté,1,0.0008,0.0016,0.0024,S20260418_213338
2026-04-18,21:44:51,Samedi,Nuit (21h-00h),Connecté,1,0.001,0.002,0.003,S20260418_213338
2026-04-18,21:45:51,Samedi,Nuit (21h-00h),Connecté,1,0.0005,0.0012,0.0017,S20260418_213338
2026-04-18,21:46:51,Samedi,Nuit (21h-00h),Connecté,1,0.0013,0.0026,0.0039,S20260418_213338
2026-04-18,21:47:54,Samedi,Nuit (21h-00h),Déconnecté,1,0.0006,0.0014,0.002,S20260418_213338
2026-04-18,21:48:54,Samedi,Nuit (21h-00h),Connecté,1,0.0007,0.0014,0.0021,S20260418_213338
2026-04-18,21:49:54,Samedi,Nuit (21h-00h),Connecté,1,0.0012,0.0021,0.0033,S20260418_213338
2026-04-18,21:50:54,Samedi,Nuit (21h-00h),Connecté,1,0.0098,0.0074,0.0172,S20260418_213338
2026-04-18,21:51:57,Samedi,Nuit (21h-00h),Déconnecté,1,0.0004,0.0015,0.0019,S20260418_213338
2026-04-18,21:52:57,Samedi,Nuit (21h-00h),Connecté,1,0.0007,0.0015,0.0022,S20260418_213338
2026-04-18,21:53:57,Samedi,Nuit (21h-00h),Connecté,1,0.0005,0.0013,0.0018,S20260418_213338
2026-04-18,21:54:57,Samedi,Nuit (21h-00h),Connecté,1,0.0054,0.0101,0.0155,S20260418_213338
