date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,20:02:40,Samedi,Soirée (18h-21h),Connecté,1,2.767,0.1644,2.9314,S20260418_200140
2026-04-18,20:03:42,Samedi,Soirée (18h-21h),Connecté,1,2.7738,0.1699,2.9437,S20260418_200140
2026-04-18,20:04:43,Samedi,Soirée (18h-21h),Connecté,1,2.8101,0.1639,2.974,S20260418_200140
2026-04-18,20:05:43,Samedi,Soirée (18h-21h),Connecté,1,2.715,0.1679,2.8829,S20260418_200140
2026-04-18,20:06:44,Samedi,Soirée (18h-21h),Connecté,1,2.4989,0.1569,2.6558,S20260418_200140
2026-04-18,20:07:44,Samedi,Soirée (18h-21h),Connecté,1,2.9162,0.175,3.0912,S20260418_200140
2026-04-18,20:08:44,Samedi,Soirée (18h-21h),Connecté,1,2.9024,0.1701,3.0725,S20260418_200140
2026-04-18,20:09:44,Samedi,Soirée (18h-21h),Connecté,1,2.8796,0.1573,3.0369,S20260418_200140
2026-04-18,20:10:47,Samedi,Soirée (18h-21h),Déconnecté,1,1.7476,0.1095,1.8571,S20260418_200140
2026-04-18,20:11:47,Samedi,Soirée (18h-21h),Connecté,1,1.9835,0.1211,2.1046,S20260418_200140
2026-04-18,20:12:47,Samedi,Soirée (18h-21h),Connecté,1,2.8779,0.1939,3.0718,S20260418_200140
2026-04-18,20:13:48,Samedi,Soirée (18h-21h),Connecté,1,2.8832,0.1677,3.0509,S20260418_200140
2026-04-18,20:14:48,Samedi,Soirée (18h-21h),Connecté,1,2.7374,0.1594,2.8968,S20260418_200140
2026-04-18,20:15:48,Samedi,Soirée (18h-21h),Connecté,1,2.8913,0.1788,3.0701,S20260418_200140
2026-04-18,20:16:48,Samedi,Soirée (18h-21h),Connecté,1,2.887,0.1742,3.0612,S20260418_200140
2026-04-18,20:17:48,Samedi,Soirée (18h-21h),Connecté,1,2.8858,0.173,3.0588,S20260418_200140
2026-04-18,20:18:48,Samedi,Soirée (18h-21h),Connecté,1,2.8576,0.1609,3.0185,S20260418_200140
2026-04-18,20:19:49,Samedi,Soirée (18h-21h),Connecté,1,2.8401,0.1786,3.0187,S20260418_200140
2026-04-18,20:20:49,Samedi,Soirée (18h-21h),Connecté,1,2.8914,0.1801,3.0715,S20260418_200140
2026-04-18,20:21:52,Samedi,Soirée (18h-21h),Connecté,1,1.7724,0.1085,1.8809,S20260418_200140
2026-04-18,20:22:52,Samedi,Soirée (18h-21h),Connecté,1,2.3781,0.1363,2.5144,S20260418_200140
2026-04-18,20:24:52,Samedi,Soirée (18h-21h),Connecté,1,1.5934,0.0939,1.6873,S20260418_202352
2026-04-19,06:41:06,Dimanche,Matin tôt (05h-09h),Déconnecté,1,0.8332,0.0487,0.8819,S20260418_202553
2026-04-19,06:42:06,Dimanche,Matin tôt (05h-09h),Déconnecté,1,0.0,0.0,0.0,S20260418_202553
2026-04-19,08:57:25,Dimanche,Matin tôt (05h-09h),Déconnecté,1,0.0012,0.0012,0.0024,S20260418_202553
2026-04-19,08:58:25,Dimanche,Matin tôt (05h-09h),Déconnecté,1,0.0082,0.0082,0.0164,S20260418_202553
2026-04-19,08:59:26,Dimanche,Matin tôt (05h-09h),Connecté,1,0.0035,0.0082,0.0117,S20260418_202553
2026-04-19,09:00:29,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0002,0.0008,0.001,S20260418_202553
2026-04-19,09:01:32,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0004,0.0024,0.0028,S20260418_202553
2026-04-19,09:03:07,Dimanche,Matinée (09h-12h),Connecté,1,0.0003,0.0004,0.0007,S20260419_090207
2026-04-19,09:04:07,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0002,0.0005,0.0007,S20260419_090207
2026-04-19,09:05:08,Dimanche,Matinée (09h-12h),Connecté,1,0.0006,0.0021,0.0027,S20260419_090207
2026-04-19,09:06:08,Dimanche,Matinée (09h-12h),Connecté,1,11.5907,0.6181,12.2088,S20260419_090207
2026-04-19,09:07:08,Dimanche,Matinée (09h-12h),Connecté,1,22.4813,2.4964,24.9777,S20260419_090207
2026-04-19,09:08:08,Dimanche,Matinée (09h-12h),Connecté,1,0.0681,0.0426,0.1107,S20260419_090207
2026-04-19,09:09:08,Dimanche,Matinée (09h-12h),Connecté,1,0.3883,0.2832,0.6715,S20260419_090207
2026-04-19,09:10:11,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0555,0.363,0.4185,S20260419_090207
2026-04-19,09:11:12,Dimanche,Matinée (09h-12h),Connecté,1,0.1776,0.4658,0.6434,S20260419_090207
2026-04-19,09:12:15,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0731,0.3205,0.3936,S20260419_090207
2026-04-19,09:13:15,Dimanche,Matinée (09h-12h),Connecté,1,3.6358,0.4256,4.0614,S20260419_090207
2026-04-19,09:14:15,Dimanche,Matinée (09h-12h),Connecté,1,20.2829,0.5591,20.842,S20260419_090207
2026-04-19,09:15:18,Dimanche,Matinée (09h-12h),Déconnecté,1,8.7105,0.4788,9.1893,S20260419_090207
2026-04-19,09:16:18,Dimanche,Matinée (09h-12h),Connecté,1,0.0249,0.0249,0.0498,S20260419_090207
2026-04-19,09:17:18,Dimanche,Matinée (09h-12h),Connecté,1,0.0974,0.5336,0.631,S20260419_090207
2026-04-19,09:18:21,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0097,0.1077,0.1174,S20260419_090207
2026-04-19,09:19:22,Dimanche,Matinée (09h-12h),Connecté,1,0.0087,0.019,0.0277,S20260419_090207
2026-04-19,09:20:22,Dimanche,Matinée (09h-12h),Connecté,1,0.008,0.0128,0.0208,S20260419_090207
2026-04-19,09:21:23,Dimanche,Matinée (09h-12h),Connecté,1,0.0005,0.0011,0.0016,S20260419_090207
2026-04-19,09:22:23,Dimanche,Matinée (09h-12h),Connecté,1,0.0008,0.0022,0.003,S20260419_090207
2026-04-19,09:23:23,Dimanche,Matinée (09h-12h),Connecté,1,0.181,0.385,0.566,S20260419_090207
2026-04-19,09:24:24,Dimanche,Matinée (09h-12h),Connecté,1,0.0322,0.0192,0.0514,S20260419_090207
2026-04-19,09:25:27,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0661,0.6041,0.6702,S20260419_090207
2026-04-19,09:26:30,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0227,0.0329,0.0556,S20260419_090207
2026-04-19,09:27:33,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0044,0.0213,0.0257,S20260419_090207
2026-04-19,09:28:13,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0244,0.0223,0.0467,S20260419_092710
2026-04-19,09:28:13,Dimanche,Matinée (09h-12h),Connecté,1,0.0244,0.0226,0.047,S20260419_092713
2026-04-19,09:28:36,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0297,0.0578,0.0875,S20260419_090207
2026-04-19,09:29:13,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0393,0.0896,0.1289,S20260419_092710
2026-04-19,09:29:13,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0393,0.0893,0.1286,S20260419_092713
2026-04-19,09:29:36,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0344,0.0512,0.0856,S20260419_090207
2026-04-19,09:30:13,Dimanche,Matinée (09h-12h),Connecté,1,0.107,0.0939,0.2009,S20260419_092710
2026-04-19,09:30:13,Dimanche,Matinée (09h-12h),Connecté,1,0.1073,0.0943,0.2016,S20260419_092713
2026-04-19,09:30:36,Dimanche,Matinée (09h-12h),Connecté,1,0.106,0.0937,0.1997,S20260419_090207
2026-04-19,09:31:13,Dimanche,Matinée (09h-12h),Connecté,1,0.0485,0.3552,0.4037,S20260419_092710
2026-04-19,09:31:14,Dimanche,Matinée (09h-12h),Connecté,1,0.0484,0.3552,0.4036,S20260419_092713
2026-04-19,09:31:37,Dimanche,Matinée (09h-12h),Connecté,1,0.0878,0.3754,0.4632,S20260419_090207
2026-04-19,09:32:14,Dimanche,Matinée (09h-12h),Connecté,1,0.0411,0.0281,0.0692,S20260419_092710
2026-04-19,09:32:14,Dimanche,Matinée (09h-12h),Connecté,1,0.0411,0.0281,0.0692,S20260419_092713
2026-04-19,09:32:38,Dimanche,Matinée (09h-12h),Connecté,1,0.0025,0.0091,0.0116,S20260419_090207
2026-04-19,09:33:14,Dimanche,Matinée (09h-12h),Connecté,1,0.0018,0.0036,0.0054,S20260419_092710
2026-04-19,09:33:14,Dimanche,Matinée (09h-12h),Connecté,1,0.0017,0.0035,0.0052,S20260419_092713
2026-04-19,09:33:38,Dimanche,Matinée (09h-12h),Connecté,1,0.1274,0.3779,0.5053,S20260419_090207
2026-04-19,09:34:17,Dimanche,Matinée (09h-12h),Déconnecté,1,0.1285,0.384,0.5125,S20260419_092710
2026-04-19,09:34:17,Dimanche,Matinée (09h-12h),Déconnecté,1,0.1284,0.3837,0.5121,S20260419_092713
2026-04-19,09:34:38,Dimanche,Matinée (09h-12h),Connecté,1,0.0341,0.0597,0.0938,S20260419_090207
2026-04-19,09:35:17,Dimanche,Matinée (09h-12h),Connecté,1,0.0546,0.078,0.1326,S20260419_092713
2026-04-19,09:35:17,Dimanche,Matinée (09h-12h),Connecté,1,0.0546,0.078,0.1326,S20260419_092710
2026-04-19,09:35:38,Dimanche,Matinée (09h-12h),Connecté,1,0.0231,0.0275,0.0506,S20260419_090207
2026-04-19,09:36:18,Dimanche,Matinée (09h-12h),Connecté,1,0.0019,0.0084,0.0103,S20260419_092713
2026-04-19,09:36:18,Dimanche,Matinée (09h-12h),Connecté,1,0.0019,0.0084,0.0103,S20260419_092710
2026-04-19,09:36:38,Dimanche,Matinée (09h-12h),Connecté,1,0.0017,0.0081,0.0098,S20260419_090207
2026-04-19,09:37:18,Dimanche,Matinée (09h-12h),Connecté,1,1.7464,1.6381,3.3845,S20260419_092713
2026-04-19,09:37:18,Dimanche,Matinée (09h-12h),Connecté,1,1.7464,1.6381,3.3845,S20260419_092710
2026-04-19,09:37:40,Dimanche,Matinée (09h-12h),Connecté,1,1.7752,1.8693,3.6445,S20260419_090207
2026-04-19,09:38:21,Dimanche,Matinée (09h-12h),Déconnecté,1,0.1561,1.192,1.3481,S20260419_092713
2026-04-19,09:38:21,Dimanche,Matinée (09h-12h),Déconnecté,1,0.1561,1.192,1.3481,S20260419_092710
2026-04-19,09:38:40,Dimanche,Matinée (09h-12h),Connecté,1,0.1275,0.9612,1.0887,S20260419_090207
2026-04-19,09:39:21,Dimanche,Matinée (09h-12h),Connecté,1,0.0733,0.117,0.1903,S20260419_092710
2026-04-19,09:39:21,Dimanche,Matinée (09h-12h),Connecté,1,0.0733,0.117,0.1903,S20260419_092713
2026-04-19,09:39:40,Dimanche,Matinée (09h-12h),Connecté,1,0.0738,0.1312,0.205,S20260419_090207
2026-04-19,09:40:24,Dimanche,Matinée (09h-12h),Connecté,1,0.029,0.3199,0.3489,S20260419_092710
2026-04-19,09:40:24,Dimanche,Matinée (09h-12h),Connecté,1,0.029,0.3199,0.3489,S20260419_092713
2026-04-19,09:40:41,Dimanche,Matinée (09h-12h),Connecté,1,0.0371,0.356,0.3931,S20260419_090207
2026-04-19,09:41:25,Dimanche,Matinée (09h-12h),Connecté,1,0.0338,0.0766,0.1104,S20260419_092713
2026-04-19,09:41:25,Dimanche,Matinée (09h-12h),Connecté,1,0.0338,0.0766,0.1104,S20260419_092710
