date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,19:52:03,Samedi,Soirée (18h-21h),Connecté,1,0.1884,14.6369,14.8253,S20260418_195102
2026-04-18,19:53:03,Samedi,Soirée (18h-21h),Connecté,1,6.0653,3.3432,9.4085,S20260418_195102
2026-04-18,19:54:03,Samedi,Soirée (18h-21h),Connecté,1,0.1444,7.5985,7.7429,S20260418_195102
2026-04-18,19:55:04,Samedi,Soirée (18h-21h),Connecté,1,0.0963,7.4894,7.5857,S20260418_195102
2026-04-18,19:56:04,Samedi,Soirée (18h-21h),Connecté,1,0.1264,7.1976,7.324,S20260418_195102
2026-04-18,20:00:40,Samedi,Soirée (18h-21h),Connecté,1,0.0218,0.0396,0.0614,S20260418_195940
2026-04-18,20:01:40,Samedi,Soirée (18h-21h),Connecté,1,0.0327,0.0515,0.0842,S20260418_195940
2026-04-18,20:02:41,Samedi,Soirée (18h-21h),Connecté,1,0.0251,0.0419,0.067,S20260418_195940
2026-04-18,20:03:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.0376,0.0478,0.0854,S20260418_195940
2026-04-18,20:04:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.038,0.038,0.076,S20260418_195940
2026-04-18,20:05:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.024,0.024,0.048,S20260418_195940
2026-04-18,20:06:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.0192,0.0192,0.0384,S20260418_195940
2026-04-18,20:07:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.0189,0.0189,0.0378,S20260418_195940
2026-04-18,20:08:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.0154,0.0154,0.0308,S20260418_195940
2026-04-18,20:09:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.0164,0.0164,0.0328,S20260418_195940
2026-04-18,20:10:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.0129,0.0129,0.0258,S20260418_195940
