date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-19,00:56:58,Dimanche,Nuit profonde (00h-05h),Connecté,1,4.3531,0.2805,4.6336,S20260419_005557
2026-04-19,00:57:58,Dimanche,Nuit profonde (00h-05h),Connecté,1,4.3127,0.1898,4.5025,S20260419_005557
2026-04-19,00:58:58,Dimanche,Nuit profonde (00h-05h),Connecté,1,4.3832,0.278,4.6612,S20260419_005557
2026-04-19,00:59:58,Dimanche,Nuit profonde (00h-05h),Connecté,1,4.361,0.6716,5.0326,S20260419_005557
2026-04-19,01:00:59,Dimanche,Nuit profonde (00h-05h),Connecté,1,4.3437,0.2499,4.5936,S20260419_005557
2026-04-19,01:01:59,Dimanche,Nuit profonde (00h-05h),Connecté,1,3.5786,0.2114,3.79,S20260419_005557
2026-04-19,01:02:59,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.7204,0.053,0.7734,S20260419_005557
2026-04-19,01:03:59,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.7247,0.0612,0.7859,S20260419_005557
2026-04-19,01:04:59,Dimanche,Nuit profonde (00h-05h),Connecté,1,2.5424,0.2589,2.8013,S20260419_005557
2026-04-19,01:05:59,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.3064,0.101,1.4074,S20260419_005557
2026-04-19,01:07:00,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.9753,0.4642,1.4395,S20260419_005557
2026-04-19,01:08:00,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.7877,0.1309,1.9186,S20260419_005557
2026-04-19,01:09:00,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.5436,0.0897,1.6333,S20260419_005557
2026-04-19,01:10:00,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.9003,0.1167,2.017,S20260419_005557
2026-04-19,01:11:01,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.726,0.1176,1.8436,S20260419_005557
2026-04-19,01:12:01,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.4405,0.0872,1.5277,S20260419_005557
2026-04-19,01:13:01,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.3602,0.1025,1.4627,S20260419_005557
2026-04-19,01:14:03,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.344,0.0811,1.4251,S20260419_005557
2026-04-19,01:15:03,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.7625,0.1122,1.8747,S20260419_005557
2026-04-19,01:16:03,Dimanche,Nuit profonde (00h-05h),Connecté,1,1.457,0.1018,1.5588,S20260419_005557
2026-04-19,01:17:03,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.8224,0.0547,0.8771,S20260419_005557
2026-04-19,01:18:04,Dimanche,Nuit profonde (00h-05h),Connecté,1,2.5941,0.1766,2.7707,S20260419_005557
2026-04-19,01:19:04,Dimanche,Nuit profonde (00h-05h),Connecté,1,2.4717,0.1313,2.603,S20260419_005557
2026-04-19,01:20:04,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.5038,0.0357,0.5395,S20260419_005557
2026-04-19,01:21:04,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0267,0.0228,0.0495,S20260419_005557
2026-04-19,01:22:04,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.6961,0.3077,1.0038,S20260419_005557
2026-04-19,01:23:05,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0822,0.0114,0.0936,S20260419_005557
2026-04-19,01:24:05,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0017,0.0019,0.0036,S20260419_005557
2026-04-19,01:25:05,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.001,0.0017,0.0027,S20260419_005557
2026-04-19,01:26:06,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0079,0.0141,0.022,S20260419_005557
2026-04-19,01:27:06,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0036,0.0072,0.0108,S20260419_005557
2026-04-19,01:28:06,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.092,0.0142,0.1062,S20260419_005557
2026-04-19,01:29:06,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0178,0.0082,0.026,S20260419_005557
