date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-19,12:13:05,Dimanche,Midi (12h-14h),Connecté,1,0.0756,0.0128,0.0884,S20260419_121204
2026-04-19,12:13:19,Dimanche,Midi (12h-14h),Connecté,1,0.0727,0.0079,0.0806,S20260419_121218
2026-04-19,12:14:05,Dimanche,Midi (12h-14h),Connecté,1,0.0013,0.0018,0.0031,S20260419_121204
2026-04-19,12:14:19,Dimanche,Midi (12h-14h),Connecté,1,0.0013,0.0015,0.0028,S20260419_121218
2026-04-19,12:15:07,Dimanche,Midi (12h-14h),Connecté,1,0.0006,0.001,0.0016,S20260419_121204
2026-04-19,12:15:19,Dimanche,Midi (12h-14h),Connecté,1,0.0013,0.0019,0.0032,S20260419_121218
2026-04-19,12:16:07,Dimanche,Midi (12h-14h),Connecté,1,0.0013,0.0019,0.0032,S20260419_121204
2026-04-19,12:16:20,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121218
2026-04-19,12:17:07,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:17:20,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121218
2026-04-19,12:18:08,Dimanche,Midi (12h-14h),Connecté,1,0.082,0.0079,0.0899,S20260419_121204
2026-04-19,12:18:20,Dimanche,Midi (12h-14h),Connecté,1,0.082,0.0079,0.0899,S20260419_121218
2026-04-19,12:19:08,Dimanche,Midi (12h-14h),Connecté,1,0.0007,0.0014,0.0021,S20260419_121204
2026-04-19,12:19:20,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0016,0.0026,S20260419_121218
2026-04-19,12:20:11,Dimanche,Midi (12h-14h),Déconnecté,1,0.0007,0.0011,0.0018,S20260419_121204
2026-04-19,12:20:23,Dimanche,Midi (12h-14h),Déconnecté,1,0.0006,0.0014,0.002,S20260419_121218
2026-04-19,12:21:11,Dimanche,Midi (12h-14h),Connecté,1,0.0016,0.0027,0.0043,S20260419_121204
2026-04-19,12:21:24,Dimanche,Midi (12h-14h),Connecté,1,0.0014,0.0022,0.0036,S20260419_121218
2026-04-19,12:22:11,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:22:24,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121218
2026-04-19,12:23:12,Dimanche,Midi (12h-14h),Connecté,1,0.0732,0.0122,0.0854,S20260419_121204
2026-04-19,12:23:24,Dimanche,Midi (12h-14h),Connecté,1,0.0732,0.0122,0.0854,S20260419_121218
2026-04-19,12:24:15,Dimanche,Midi (12h-14h),Déconnecté,1,0.0007,0.0011,0.0018,S20260419_121204
2026-04-19,12:24:27,Dimanche,Midi (12h-14h),Déconnecté,1,0.0013,0.0021,0.0034,S20260419_121218
2026-04-19,12:25:18,Dimanche,Midi (12h-14h),Déconnecté,1,0.0012,0.0022,0.0034,S20260419_121204
2026-04-19,12:25:30,Dimanche,Midi (12h-14h),Déconnecté,1,0.001,0.0023,0.0033,S20260419_121218
2026-04-19,12:26:19,Dimanche,Midi (12h-14h),Connecté,1,0.0019,0.0028,0.0047,S20260419_121204
2026-04-19,12:26:31,Dimanche,Midi (12h-14h),Connecté,1,0.0015,0.0018,0.0033,S20260419_121218
2026-04-19,12:27:20,Dimanche,Midi (12h-14h),Connecté,1,0.0004,0.0018,0.0022,S20260419_121204
2026-04-19,12:27:31,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0017,0.002,S20260419_121218
2026-04-19,12:28:20,Dimanche,Midi (12h-14h),Connecté,1,0.082,0.0079,0.0899,S20260419_121204
2026-04-19,12:28:31,Dimanche,Midi (12h-14h),Connecté,1,0.082,0.0079,0.0899,S20260419_121218
2026-04-19,12:29:20,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0031,0.0041,S20260419_121204
2026-04-19,12:29:32,Dimanche,Midi (12h-14h),Connecté,1,0.0012,0.0033,0.0045,S20260419_121218
2026-04-19,12:30:21,Dimanche,Midi (12h-14h),Connecté,1,0.0012,0.0017,0.0029,S20260419_121204
2026-04-19,12:30:33,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.0015,0.0024,S20260419_121218
2026-04-19,12:31:21,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0009,0.0012,S20260419_121204
2026-04-19,12:31:33,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.001,0.0013,S20260419_121218
2026-04-19,12:32:21,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:32:33,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0009,0.0012,S20260419_121218
2026-04-19,12:33:21,Dimanche,Midi (12h-14h),Connecté,1,0.0724,0.0078,0.0802,S20260419_121204
2026-04-19,12:33:34,Dimanche,Midi (12h-14h),Connecté,1,0.0724,0.0079,0.0803,S20260419_121218
2026-04-19,12:34:22,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0015,0.0025,S20260419_121204
2026-04-19,12:34:34,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.0015,0.0024,S20260419_121218
2026-04-19,12:35:22,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0018,0.0028,S20260419_121204
2026-04-19,12:35:34,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.0017,0.0026,S20260419_121218
2026-04-19,12:36:22,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:36:36,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0009,0.0012,S20260419_121218
2026-04-19,12:37:24,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0009,0.0012,S20260419_121204
2026-04-19,12:37:37,Dimanche,Midi (12h-14h),Connecté,1,0.0005,0.0013,0.0018,S20260419_121218
2026-04-19,12:38:25,Dimanche,Midi (12h-14h),Connecté,1,0.0727,0.0086,0.0813,S20260419_121204
2026-04-19,12:38:39,Dimanche,Midi (12h-14h),Connecté,1,0.0725,0.0085,0.081,S20260419_121218
2026-04-19,12:39:25,Dimanche,Midi (12h-14h),Connecté,1,0.0013,0.0019,0.0032,S20260419_121204
2026-04-19,12:39:40,Dimanche,Midi (12h-14h),Connecté,1,0.0012,0.0015,0.0027,S20260419_121218
2026-04-19,12:40:26,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.0014,0.0023,S20260419_121204
2026-04-19,12:40:40,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.0014,0.0023,S20260419_121218
2026-04-19,12:41:26,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:41:40,Dimanche,Midi (12h-14h),Connecté,1,0.0004,0.001,0.0014,S20260419_121218
2026-04-19,12:42:27,Dimanche,Midi (12h-14h),Connecté,1,0.0465,0.0184,0.0649,S20260419_121204
2026-04-19,12:42:41,Dimanche,Midi (12h-14h),Connecté,1,0.0465,0.0184,0.0649,S20260419_121218
2026-04-19,12:43:28,Dimanche,Midi (12h-14h),Connecté,1,0.0818,0.0123,0.0941,S20260419_121204
2026-04-19,12:43:41,Dimanche,Midi (12h-14h),Connecté,1,0.0818,0.0124,0.0942,S20260419_121218
2026-04-19,12:44:29,Dimanche,Midi (12h-14h),Connecté,1,0.0011,0.0016,0.0027,S20260419_121204
2026-04-19,12:44:41,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.0012,0.0021,S20260419_121218
2026-04-19,12:45:29,Dimanche,Midi (12h-14h),Connecté,1,0.0013,0.0019,0.0032,S20260419_121204
2026-04-19,12:45:41,Dimanche,Midi (12h-14h),Connecté,1,0.0013,0.0019,0.0032,S20260419_121218
2026-04-19,12:46:29,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:46:41,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0009,0.0012,S20260419_121218
2026-04-19,12:47:29,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:47:42,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121218
2026-04-19,12:48:29,Dimanche,Midi (12h-14h),Connecté,1,0.0724,0.0086,0.081,S20260419_121204
2026-04-19,12:48:42,Dimanche,Midi (12h-14h),Connecté,1,0.0724,0.0087,0.0811,S20260419_121218
2026-04-19,12:49:30,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.0015,0.0024,S20260419_121204
2026-04-19,12:49:42,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.0014,0.0023,S20260419_121218
2026-04-19,12:50:30,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0017,0.0027,S20260419_121204
2026-04-19,12:50:43,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0016,0.0026,S20260419_121218
2026-04-19,12:51:30,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:51:43,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0009,0.0012,S20260419_121218
2026-04-19,12:52:31,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0008,0.0011,S20260419_121204
2026-04-19,12:52:43,Dimanche,Midi (12h-14h),Connecté,1,0.0004,0.001,0.0014,S20260419_121218
2026-04-19,12:53:32,Dimanche,Midi (12h-14h),Connecté,1,0.0724,0.0092,0.0816,S20260419_121204
2026-04-19,12:53:43,Dimanche,Midi (12h-14h),Connecté,1,0.0724,0.0092,0.0816,S20260419_121218
2026-04-19,12:54:33,Dimanche,Midi (12h-14h),Connecté,1,0.0007,0.003,0.0037,S20260419_121204
2026-04-19,12:54:44,Dimanche,Midi (12h-14h),Connecté,1,0.0009,0.003,0.0039,S20260419_121218
2026-04-19,12:55:36,Dimanche,Midi (12h-14h),Déconnecté,1,0.0013,0.0018,0.0031,S20260419_121204
2026-04-19,12:55:44,Dimanche,Midi (12h-14h),Connecté,1,0.0011,0.0017,0.0028,S20260419_121218
2026-04-19,12:56:36,Dimanche,Midi (12h-14h),Connecté,1,0.0004,0.001,0.0014,S20260419_121204
2026-04-19,12:56:44,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0009,0.0012,S20260419_121218
2026-04-19,12:57:36,Dimanche,Midi (12h-14h),Connecté,1,0.0003,0.0017,0.002,S20260419_121204
2026-04-19,12:57:45,Dimanche,Midi (12h-14h),Connecté,1,0.0004,0.0018,0.0022,S20260419_121218
2026-04-19,12:58:39,Dimanche,Midi (12h-14h),Déconnecté,1,0.082,0.0087,0.0907,S20260419_121204
2026-04-19,12:58:46,Dimanche,Midi (12h-14h),Connecté,1,0.0822,0.0091,0.0913,S20260419_121218
2026-04-19,12:59:40,Dimanche,Midi (12h-14h),Connecté,1,0.0013,0.0019,0.0032,S20260419_121204
2026-04-19,12:59:46,Dimanche,Midi (12h-14h),Connecté,1,0.0011,0.0015,0.0026,S20260419_121218
2026-04-19,13:00:40,Dimanche,Midi (12h-14h),Connecté,1,0.1123,0.0613,0.1736,S20260419_121204
2026-04-19,13:00:47,Dimanche,Midi (12h-14h),Connecté,1,0.1123,0.0615,0.1738,S20260419_121218
2026-04-19,13:01:41,Dimanche,Midi (12h-14h),Connecté,1,0.0044,0.0129,0.0173,S20260419_121204
2026-04-19,13:01:47,Dimanche,Midi (12h-14h),Connecté,1,0.0052,0.0195,0.0247,S20260419_121218
2026-04-19,13:02:41,Dimanche,Midi (12h-14h),Connecté,1,0.0188,0.0279,0.0467,S20260419_121204
2026-04-19,13:02:48,Dimanche,Midi (12h-14h),Connecté,1,0.018,0.0211,0.0391,S20260419_121218
2026-04-19,13:03:42,Dimanche,Midi (12h-14h),Connecté,1,0.0052,0.0155,0.0207,S20260419_121204
2026-04-19,13:03:48,Dimanche,Midi (12h-14h),Connecté,1,0.0054,0.0157,0.0211,S20260419_121218
2026-04-19,13:04:43,Dimanche,Midi (12h-14h),Connecté,1,0.0008,0.0015,0.0023,S20260419_121204
2026-04-19,13:04:48,Dimanche,Midi (12h-14h),Connecté,1,0.0006,0.0014,0.002,S20260419_121218
2026-04-19,13:05:43,Dimanche,Midi (12h-14h),Connecté,1,0.0016,0.0047,0.0063,S20260419_121204
2026-04-19,13:05:49,Dimanche,Midi (12h-14h),Connecté,1,0.0021,0.0056,0.0077,S20260419_121218
2026-04-19,13:06:43,Dimanche,Midi (12h-14h),Connecté,1,0.0031,0.0074,0.0105,S20260419_121204
2026-04-19,13:06:49,Dimanche,Midi (12h-14h),Connecté,1,0.0027,0.0072,0.0099,S20260419_121218
2026-04-19,13:07:46,Dimanche,Midi (12h-14h),Déconnecté,1,0.0021,0.0055,0.0076,S20260419_121204
2026-04-19,13:07:52,Dimanche,Midi (12h-14h),Déconnecté,1,0.0018,0.0046,0.0064,S20260419_121218
2026-04-19,13:08:47,Dimanche,Midi (12h-14h),Connecté,1,0.0045,0.04,0.0445,S20260419_121204
2026-04-19,13:08:52,Dimanche,Midi (12h-14h),Connecté,1,0.0046,0.0401,0.0447,S20260419_121218
2026-04-19,13:09:47,Dimanche,Midi (12h-14h),Connecté,1,0.0006,0.0092,0.0098,S20260419_121204
2026-04-19,13:09:53,Dimanche,Midi (12h-14h),Connecté,1,0.0007,0.0093,0.01,S20260419_121218
2026-04-19,13:10:47,Dimanche,Midi (12h-14h),Connecté,1,0.0011,0.0036,0.0047,S20260419_121204
2026-04-19,13:10:53,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0035,0.0045,S20260419_121218
2026-04-19,13:11:48,Dimanche,Midi (12h-14h),Connecté,1,0.0619,0.0329,0.0948,S20260419_121204
2026-04-19,13:11:53,Dimanche,Midi (12h-14h),Connecté,1,0.0656,0.035,0.1006,S20260419_121218
2026-04-19,13:12:48,Dimanche,Midi (12h-14h),Connecté,1,0.007,0.0087,0.0157,S20260419_121204
2026-04-19,13:12:53,Dimanche,Midi (12h-14h),Connecté,1,0.0034,0.0067,0.0101,S20260419_121218
2026-04-19,13:13:48,Dimanche,Midi (12h-14h),Connecté,1,0.0826,0.009,0.0916,S20260419_121204
2026-04-19,13:13:53,Dimanche,Midi (12h-14h),Connecté,1,0.0825,0.0089,0.0914,S20260419_121218
2026-04-19,13:14:48,Dimanche,Midi (12h-14h),Connecté,1,0.0014,0.0017,0.0031,S20260419_121204
2026-04-19,13:14:54,Dimanche,Midi (12h-14h),Connecté,1,0.0014,0.0018,0.0032,S20260419_121218
2026-04-19,13:15:49,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0018,0.0028,S20260419_121204
2026-04-19,13:15:55,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0019,0.0029,S20260419_121218
2026-04-19,13:16:50,Dimanche,Midi (12h-14h),Connecté,1,0.0005,0.0011,0.0016,S20260419_121204
2026-04-19,13:16:55,Dimanche,Midi (12h-14h),Connecté,1,0.0005,0.0011,0.0016,S20260419_121218
2026-04-19,13:17:50,Dimanche,Midi (12h-14h),Connecté,1,0.0005,0.0045,0.005,S20260419_121204
2026-04-19,13:17:55,Dimanche,Midi (12h-14h),Connecté,1,0.0004,0.0044,0.0048,S20260419_121218
2026-04-19,13:18:50,Dimanche,Midi (12h-14h),Connecté,1,0.0725,0.0082,0.0807,S20260419_121204
2026-04-19,13:18:55,Dimanche,Midi (12h-14h),Connecté,1,0.0725,0.0084,0.0809,S20260419_121218
2026-04-19,13:19:50,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0035,0.0045,S20260419_121204
2026-04-19,13:19:56,Dimanche,Midi (12h-14h),Connecté,1,0.001,0.0034,0.0044,S20260419_121218
2026-04-19,13:20:50,Dimanche,Midi (12h-14h),Connecté,1,0.0006,0.0011,0.0017,S20260419_121204
2026-04-19,13:20:57,Dimanche,Midi (12h-14h),Connecté,1,0.0006,0.0011,0.0017,S20260419_121218
2026-04-19,13:21:50,Dimanche,Midi (12h-14h),Connecté,1,0.0004,0.0009,0.0013,S20260419_121204
