date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,19:29:50,Samedi,Soirée (18h-21h),Connecté,1,0.1143,0.4855,0.5998,S20260418_192850
2026-04-18,19:30:50,Samedi,Soirée (18h-21h),Connecté,1,0.7493,1.1105,1.8598,S20260418_192850
2026-04-18,20:01:02,Samedi,Soirée (18h-21h),Connecté,1,1.2095,5.7858,6.9953,S20260418_200002
2026-04-18,20:02:03,Samedi,Soirée (18h-21h),Connecté,1,1.1005,0.4191,1.5196,S20260418_200002
2026-04-18,20:03:06,Samedi,Soirée (18h-21h),Déconnecté,1,0.0906,0.1131,0.2037,S20260418_200002
2026-04-18,20:04:06,Samedi,Soirée (18h-21h),Connecté,1,0.3537,0.9726,1.3263,S20260418_200002
2026-04-18,20:05:06,Samedi,Soirée (18h-21h),Connecté,1,0.1374,0.4114,0.5488,S20260418_200002
2026-04-18,20:06:09,Samedi,Soirée (18h-21h),Déconnecté,1,0.2316,0.1701,0.4017,S20260418_200002
2026-04-18,20:07:12,Samedi,Soirée (18h-21h),Déconnecté,1,0.2285,1.5034,1.7319,S20260418_200002
2026-04-18,20:08:15,Samedi,Soirée (18h-21h),Déconnecté,1,0.1678,0.4482,0.616,S20260418_200002
2026-04-18,20:09:15,Samedi,Soirée (18h-21h),Connecté,1,0.2168,0.7169,0.9337,S20260418_200002
2026-04-18,20:10:15,Samedi,Soirée (18h-21h),Connecté,1,0.146,0.3249,0.4709,S20260418_200002
2026-04-18,20:11:17,Samedi,Soirée (18h-21h),Connecté,1,0.0978,0.3183,0.4161,S20260418_200002
2026-04-18,20:12:17,Samedi,Soirée (18h-21h),Connecté,1,0.2806,2.1584,2.439,S20260418_200002
2026-04-18,20:13:17,Samedi,Soirée (18h-21h),Connecté,1,0.2756,2.878,3.1536,S20260418_200002
2026-04-18,20:14:20,Samedi,Soirée (18h-21h),Déconnecté,1,0.1276,1.6086,1.7362,S20260418_200002
2026-04-18,20:15:23,Samedi,Soirée (18h-21h),Déconnecté,1,0.1222,0.5135,0.6357,S20260418_200002
2026-04-18,20:16:23,Samedi,Soirée (18h-21h),Connecté,1,0.1173,0.5387,0.656,S20260418_200002
2026-04-18,20:17:23,Samedi,Soirée (18h-21h),Connecté,1,0.1193,0.6271,0.7464,S20260418_200002
2026-04-18,20:18:23,Samedi,Soirée (18h-21h),Connecté,1,0.2614,3.3601,3.6215,S20260418_200002
2026-04-18,20:19:26,Samedi,Soirée (18h-21h),Déconnecté,1,0.1238,2.196,2.3198,S20260418_200002
2026-04-18,20:20:26,Samedi,Soirée (18h-21h),Connecté,1,0.1223,1.4805,1.6028,S20260418_200002
2026-04-18,20:21:26,Samedi,Soirée (18h-21h),Connecté,1,0.3074,0.5531,0.8605,S20260418_200002
2026-04-18,20:22:29,Samedi,Soirée (18h-21h),Déconnecté,1,0.1519,0.3379,0.4898,S20260418_200002
2026-04-18,20:23:29,Samedi,Soirée (18h-21h),Connecté,1,0.1193,0.4031,0.5224,S20260418_200002
2026-04-18,20:24:29,Samedi,Soirée (18h-21h),Connecté,1,0.1008,0.1724,0.2732,S20260418_200002
2026-04-18,20:25:32,Samedi,Soirée (18h-21h),Déconnecté,1,0.0835,0.2128,0.2963,S20260418_200002
2026-04-18,20:26:35,Samedi,Soirée (18h-21h),Déconnecté,1,0.1358,0.1357,0.2715,S20260418_200002
2026-04-18,20:27:35,Samedi,Soirée (18h-21h),Connecté,1,0.1717,0.1572,0.3289,S20260418_200002
2026-04-18,20:28:38,Samedi,Soirée (18h-21h),Déconnecté,1,0.1377,0.2235,0.3612,S20260418_200002
2026-04-18,20:29:41,Samedi,Soirée (18h-21h),Déconnecté,1,0.08,0.1081,0.1881,S20260418_200002
2026-04-18,20:30:44,Samedi,Soirée (18h-21h),Déconnecté,1,0.1183,0.1185,0.2368,S20260418_200002
2026-04-18,20:31:44,Samedi,Soirée (18h-21h),Connecté,1,0.0801,0.1855,0.2656,S20260418_200002
2026-04-18,20:32:44,Samedi,Soirée (18h-21h),Connecté,1,0.0897,0.2622,0.3519,S20260418_200002
2026-04-18,20:33:44,Samedi,Soirée (18h-21h),Connecté,1,0.1465,0.512,0.6585,S20260418_200002
2026-04-18,20:34:44,Samedi,Soirée (18h-21h),Connecté,1,0.1231,0.6416,0.7647,S20260418_200002
2026-04-18,20:35:47,Samedi,Soirée (18h-21h),Déconnecté,1,0.0951,0.3992,0.4943,S20260418_200002
2026-04-18,20:36:50,Samedi,Soirée (18h-21h),Déconnecté,1,0.58,3.7049,4.2849,S20260418_200002
2026-04-18,20:37:51,Samedi,Soirée (18h-21h),Connecté,1,0.1922,0.2384,0.4306,S20260418_200002
2026-04-18,20:38:51,Samedi,Soirée (18h-21h),Connecté,1,0.1503,1.1907,1.341,S20260418_200002
2026-04-18,20:39:54,Samedi,Soirée (18h-21h),Déconnecté,1,0.1067,1.0244,1.1311,S20260418_200002
2026-04-18,20:40:55,Samedi,Soirée (18h-21h),Connecté,1,0.112,0.4847,0.5967,S20260418_200002
2026-04-18,20:41:55,Samedi,Soirée (18h-21h),Connecté,1,0.1203,0.368,0.4883,S20260418_200002
2026-04-18,20:42:58,Samedi,Soirée (18h-21h),Déconnecté,1,0.1625,1.7235,1.886,S20260418_200002
2026-04-18,20:44:01,Samedi,Soirée (18h-21h),Déconnecté,1,0.0649,0.5409,0.6058,S20260418_200002
2026-04-18,20:45:01,Samedi,Soirée (18h-21h),Connecté,1,0.2966,1.9555,2.2521,S20260418_200002
