date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,19:53:49,Samedi,Soirée (18h-21h),Connecté,1,0.2159,0.3454,0.5613,S20260418_195249
2026-04-18,19:54:49,Samedi,Soirée (18h-21h),Connecté,1,0.0579,0.2603,0.3182,S20260418_195249
2026-04-18,19:55:49,Samedi,Soirée (18h-21h),Connecté,1,0.0379,0.0774,0.1153,S20260418_195249
2026-04-18,19:56:50,Samedi,Soirée (18h-21h),Connecté,1,0.0612,0.271,0.3322,S20260418_195249
2026-04-18,19:57:50,Samedi,Soirée (18h-21h),Connecté,1,0.1493,0.291,0.4403,S20260418_195249
2026-04-18,19:58:50,Samedi,Soirée (18h-21h),Connecté,1,1.4728,0.9744,2.4472,S20260418_195249
2026-04-18,19:59:51,Samedi,Soirée (18h-21h),Connecté,1,2.7059,1.2495,3.9554,S20260418_195249
2026-04-18,20:00:51,Samedi,Soirée (18h-21h),Connecté,1,1.0695,1.4772,2.5467,S20260418_195249
2026-04-18,20:01:52,Samedi,Soirée (18h-21h),Connecté,1,0.3024,0.5067,0.8091,S20260418_195249
2026-04-18,20:02:52,Samedi,Soirée (18h-21h),Connecté,1,0.103,0.337,0.44,S20260418_195249
2026-04-18,20:03:52,Samedi,Soirée (18h-21h),Connecté,1,1.1003,1.6423,2.7426,S20260418_195249
2026-04-18,20:04:53,Samedi,Soirée (18h-21h),Connecté,1,0.0863,0.3715,0.4578,S20260418_195249
2026-04-18,20:05:53,Samedi,Soirée (18h-21h),Connecté,1,0.0776,0.3808,0.4584,S20260418_195249
2026-04-18,20:06:54,Samedi,Soirée (18h-21h),Connecté,1,0.1905,0.602,0.7925,S20260418_195249
2026-04-18,20:07:54,Samedi,Soirée (18h-21h),Connecté,1,1.6601,0.5572,2.2173,S20260418_195249
2026-04-18,20:08:54,Samedi,Soirée (18h-21h),Connecté,1,0.9545,0.5079,1.4624,S20260418_195249
2026-04-18,20:09:55,Samedi,Soirée (18h-21h),Connecté,1,0.9159,0.9872,1.9031,S20260418_195249
2026-04-18,20:10:55,Samedi,Soirée (18h-21h),Connecté,1,2.5449,0.8859,3.4308,S20260418_195249
2026-04-18,20:11:55,Samedi,Soirée (18h-21h),Connecté,1,1.2584,0.6202,1.8786,S20260418_195249
2026-04-18,20:12:56,Samedi,Soirée (18h-21h),Connecté,1,1.874,0.6042,2.4782,S20260418_195249
2026-04-18,20:13:56,Samedi,Soirée (18h-21h),Connecté,1,1.8891,0.367,2.2561,S20260418_195249
2026-04-18,20:14:59,Samedi,Soirée (18h-21h),Déconnecté,1,1.0253,0.2814,1.3067,S20260418_195249
2026-04-18,20:15:59,Samedi,Soirée (18h-21h),Connecté,1,3.0531,0.4095,3.4626,S20260418_195249
2026-04-18,20:17:00,Samedi,Soirée (18h-21h),Connecté,1,1.6674,0.2435,1.9109,S20260418_195249
2026-04-18,20:18:00,Samedi,Soirée (18h-21h),Connecté,1,0.2038,0.671,0.8748,S20260418_195249
2026-04-18,20:19:00,Samedi,Soirée (18h-21h),Connecté,1,0.3387,0.3179,0.6566,S20260418_195249
2026-04-18,20:20:01,Samedi,Soirée (18h-21h),Connecté,1,0.0878,0.3478,0.4356,S20260418_195249
2026-04-18,20:21:01,Samedi,Soirée (18h-21h),Connecté,1,0.2927,0.1572,0.4499,S20260418_195249
2026-04-18,20:22:01,Samedi,Soirée (18h-21h),Connecté,1,0.3269,0.3359,0.6628,S20260418_195249
2026-04-18,20:23:02,Samedi,Soirée (18h-21h),Connecté,1,1.0915,0.4369,1.5284,S20260418_195249
2026-04-18,20:24:02,Samedi,Soirée (18h-21h),Connecté,1,0.0723,0.3578,0.4301,S20260418_195249
2026-04-18,20:25:02,Samedi,Soirée (18h-21h),Connecté,1,0.6582,0.3608,1.019,S20260418_195249
2026-04-18,20:26:03,Samedi,Soirée (18h-21h),Connecté,1,1.1717,0.4472,1.6189,S20260418_195249
2026-04-18,20:27:03,Samedi,Soirée (18h-21h),Connecté,1,1.2448,0.4561,1.7009,S20260418_195249
2026-04-18,20:28:03,Samedi,Soirée (18h-21h),Connecté,1,1.3156,0.4498,1.7654,S20260418_195249
2026-04-18,20:29:04,Samedi,Soirée (18h-21h),Connecté,1,1.2755,0.4706,1.7461,S20260418_195249
2026-04-18,20:30:04,Samedi,Soirée (18h-21h),Connecté,1,1.2934,0.4804,1.7738,S20260418_195249
2026-04-18,20:31:04,Samedi,Soirée (18h-21h),Connecté,1,1.1775,0.4242,1.6017,S20260418_195249
2026-04-18,20:32:05,Samedi,Soirée (18h-21h),Connecté,1,1.2536,0.4845,1.7381,S20260418_195249
2026-04-18,20:33:05,Samedi,Soirée (18h-21h),Connecté,1,1.5326,0.5456,2.0782,S20260418_195249
2026-04-18,20:34:05,Samedi,Soirée (18h-21h),Connecté,1,1.4065,0.8643,2.2708,S20260418_195249
2026-04-18,20:35:05,Samedi,Soirée (18h-21h),Connecté,1,1.5892,0.6508,2.24,S20260418_195249
2026-04-18,20:36:06,Samedi,Soirée (18h-21h),Connecté,1,0.0765,0.3067,0.3832,S20260418_195249
2026-04-18,20:37:07,Samedi,Soirée (18h-21h),Connecté,1,0.0935,0.471,0.5645,S20260418_195249
2026-04-18,20:38:10,Samedi,Soirée (18h-21h),Déconnecté,1,0.1559,0.1405,0.2964,S20260418_195249
2026-04-18,20:39:13,Samedi,Soirée (18h-21h),Déconnecté,1,0.0462,0.1076,0.1538,S20260418_195249
2026-04-18,20:40:14,Samedi,Soirée (18h-21h),Connecté,1,0.2684,0.9417,1.2101,S20260418_195249
2026-04-18,20:41:14,Samedi,Soirée (18h-21h),Connecté,1,0.8321,0.5032,1.3353,S20260418_195249
2026-04-18,20:42:14,Samedi,Soirée (18h-21h),Connecté,1,1.3715,0.4629,1.8344,S20260418_195249
2026-04-18,20:43:17,Samedi,Soirée (18h-21h),Déconnecté,1,0.7223,0.4461,1.1684,S20260418_195249
2026-04-18,20:44:17,Samedi,Soirée (18h-21h),Connecté,1,1.7374,0.6477,2.3851,S20260418_195249
2026-04-18,20:45:18,Samedi,Soirée (18h-21h),Connecté,1,1.4396,0.6055,2.0451,S20260418_195249
2026-04-18,20:46:18,Samedi,Soirée (18h-21h),Connecté,1,0.6831,0.5079,1.191,S20260418_195249
2026-04-18,20:47:18,Samedi,Soirée (18h-21h),Connecté,1,1.6763,0.5282,2.2045,S20260418_195249
2026-04-18,20:48:18,Samedi,Soirée (18h-21h),Connecté,1,2.7033,0.652,3.3553,S20260418_195249
2026-04-18,20:49:19,Samedi,Soirée (18h-21h),Connecté,1,2.014,0.5778,2.5918,S20260418_195249
2026-04-18,20:50:22,Samedi,Soirée (18h-21h),Déconnecté,1,0.4871,0.2215,0.7086,S20260418_195249
2026-04-18,20:51:25,Samedi,Soirée (18h-21h),Connecté,1,0.0529,0.0764,0.1293,S20260418_195249
2026-04-18,20:52:25,Samedi,Soirée (18h-21h),Connecté,1,0.4951,0.4042,0.8993,S20260418_195249
2026-04-18,20:53:25,Samedi,Soirée (18h-21h),Connecté,1,1.458,1.0256,2.4836,S20260418_195249
2026-04-18,20:54:26,Samedi,Soirée (18h-21h),Connecté,1,1.7903,0.6899,2.4802,S20260418_195249
2026-04-18,20:55:26,Samedi,Soirée (18h-21h),Connecté,1,0.1693,0.4037,0.573,S20260418_195249
2026-04-18,20:56:26,Samedi,Soirée (18h-21h),Connecté,1,0.6409,0.1876,0.8285,S20260418_195249
2026-04-18,20:57:26,Samedi,Soirée (18h-21h),Connecté,1,1.9545,0.2166,2.1711,S20260418_195249
2026-04-18,20:58:30,Samedi,Soirée (18h-21h),Déconnecté,1,2.3533,0.3723,2.7256,S20260418_195249
