date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,18:05:24,Samedi,Soirée (18h-21h),Connecté,1,0.1632,0.1016,0.2648,S20260418_180424
2026-04-18,18:06:27,Samedi,Soirée (18h-21h),Déconnecté,1,0.2574,0.2267,0.4841,S20260418_180424
2026-04-18,18:07:27,Samedi,Soirée (18h-21h),Connecté,1,0.0774,0.1614,0.2388,S20260418_180424
2026-04-18,18:08:27,Samedi,Soirée (18h-21h),Connecté,1,0.0513,0.0733,0.1246,S20260418_180424
2026-04-18,18:09:27,Samedi,Soirée (18h-21h),Connecté,1,0.0913,0.3268,0.4181,S20260418_180424
2026-04-18,18:10:30,Samedi,Soirée (18h-21h),Déconnecté,1,0.1171,0.0497,0.1668,S20260418_180424
2026-04-18,18:11:32,Samedi,Soirée (18h-21h),Connecté,1,0.0452,0.0461,0.0913,S20260418_180424
2026-04-18,18:12:35,Samedi,Soirée (18h-21h),Déconnecté,1,0.0197,0.0239,0.0436,S20260418_180424
2026-04-18,18:13:38,Samedi,Soirée (18h-21h),Déconnecté,1,0.1371,0.1059,0.243,S20260418_180424
2026-04-18,18:14:38,Samedi,Soirée (18h-21h),Connecté,1,0.0562,0.065,0.1212,S20260418_180424
2026-04-18,18:15:38,Samedi,Soirée (18h-21h),Connecté,1,0.7069,0.1069,0.8138,S20260418_180424
2026-04-18,18:16:38,Samedi,Soirée (18h-21h),Connecté,1,0.8126,0.3005,1.1131,S20260418_180424
2026-04-18,18:17:38,Samedi,Soirée (18h-21h),Connecté,1,0.3191,1.2737,1.5928,S20260418_180424
2026-04-18,18:18:39,Samedi,Soirée (18h-21h),Connecté,1,0.08,0.1759,0.2559,S20260418_180424
2026-04-18,18:19:39,Samedi,Soirée (18h-21h),Connecté,1,0.4271,0.1803,0.6074,S20260418_180424
2026-04-18,18:20:39,Samedi,Soirée (18h-21h),Connecté,1,0.147,0.0851,0.2321,S20260418_180424
2026-04-18,18:21:39,Samedi,Soirée (18h-21h),Connecté,1,0.025,0.0686,0.0936,S20260418_180424
2026-04-18,18:22:40,Samedi,Soirée (18h-21h),Connecté,1,0.056,0.0737,0.1297,S20260418_180424
2026-04-18,18:23:40,Samedi,Soirée (18h-21h),Connecté,1,0.4853,0.0915,0.5768,S20260418_180424
2026-04-18,18:24:43,Samedi,Soirée (18h-21h),Déconnecté,1,0.1057,0.1349,0.2406,S20260418_180424
2026-04-18,18:25:43,Samedi,Soirée (18h-21h),Connecté,1,0.2056,0.1754,0.381,S20260418_180424
2026-04-18,18:26:43,Samedi,Soirée (18h-21h),Connecté,1,0.1066,0.0755,0.1821,S20260418_180424
2026-04-18,18:27:43,Samedi,Soirée (18h-21h),Connecté,1,0.0254,0.0294,0.0548,S20260418_180424
2026-04-18,18:28:43,Samedi,Soirée (18h-21h),Connecté,1,0.0517,0.0512,0.1029,S20260418_180424
2026-04-18,18:29:43,Samedi,Soirée (18h-21h),Connecté,1,0.169,0.1936,0.3626,S20260418_180424
2026-04-18,18:30:43,Samedi,Soirée (18h-21h),Connecté,1,0.1353,0.0519,0.1872,S20260418_180424
2026-04-18,18:31:43,Samedi,Soirée (18h-21h),Connecté,1,0.1764,0.2702,0.4466,S20260418_180424
2026-04-18,18:32:43,Samedi,Soirée (18h-21h),Connecté,1,0.1213,0.1278,0.2491,S20260418_180424
2026-04-18,18:33:43,Samedi,Soirée (18h-21h),Connecté,1,0.0989,0.1854,0.2843,S20260418_180424
2026-04-18,18:34:43,Samedi,Soirée (18h-21h),Connecté,1,0.0482,0.1027,0.1509,S20260418_180424
2026-04-18,18:35:43,Samedi,Soirée (18h-21h),Connecté,1,0.1235,0.0492,0.1727,S20260418_180424
2026-04-18,18:36:43,Samedi,Soirée (18h-21h),Connecté,1,5.0998,0.1805,5.2803,S20260418_180424
2026-04-18,18:37:44,Samedi,Soirée (18h-21h),Connecté,1,0.0474,0.0527,0.1001,S20260418_180424
2026-04-18,18:38:44,Samedi,Soirée (18h-21h),Connecté,1,0.0624,0.0745,0.1369,S20260418_180424
2026-04-18,18:39:44,Samedi,Soirée (18h-21h),Connecté,1,0.1808,0.281,0.4618,S20260418_180424
2026-04-18,18:40:44,Samedi,Soirée (18h-21h),Connecté,1,3.6465,0.4796,4.1261,S20260418_180424
2026-04-18,18:41:45,Samedi,Soirée (18h-21h),Connecté,1,44.0809,0.7655,44.8464,S20260418_180424
2026-04-18,18:42:45,Samedi,Soirée (18h-21h),Connecté,1,42.8158,0.7625,43.5783,S20260418_180424
2026-04-18,18:43:45,Samedi,Soirée (18h-21h),Connecté,1,35.9384,0.751,36.6894,S20260418_180424
2026-04-18,18:44:45,Samedi,Soirée (18h-21h),Connecté,1,65.3845,1.7528,67.1373,S20260418_180424
2026-04-18,18:45:45,Samedi,Soirée (18h-21h),Connecté,1,74.852,1.549,76.401,S20260418_180424
2026-04-18,18:46:45,Samedi,Soirée (18h-21h),Connecté,1,52.097,1.182,53.279,S20260418_180424
2026-04-18,18:47:48,Samedi,Soirée (18h-21h),Déconnecté,1,21.3624,0.5534,21.9158,S20260418_180424
2026-04-18,18:48:48,Samedi,Soirée (18h-21h),Connecté,1,85.3735,1.5232,86.8967,S20260418_180424
2026-04-18,18:49:49,Samedi,Soirée (18h-21h),Connecté,1,38.1293,0.8981,39.0274,S20260418_180424
2026-04-18,18:50:49,Samedi,Soirée (18h-21h),Connecté,1,29.6098,0.7119,30.3217,S20260418_180424
2026-04-18,18:51:49,Samedi,Soirée (18h-21h),Connecté,1,52.9648,0.9243,53.8891,S20260418_180424
2026-04-18,18:52:49,Samedi,Soirée (18h-21h),Connecté,1,23.9581,0.3984,24.3565,S20260418_180424
2026-04-18,18:53:49,Samedi,Soirée (18h-21h),Connecté,1,3.5295,0.4424,3.9719,S20260418_180424
2026-04-18,18:54:50,Samedi,Soirée (18h-21h),Connecté,1,0.182,0.7933,0.9753,S20260418_180424
2026-04-18,18:55:50,Samedi,Soirée (18h-21h),Connecté,1,3.319,0.2949,3.6139,S20260418_180424
2026-04-18,18:56:50,Samedi,Soirée (18h-21h),Connecté,1,35.3981,0.8306,36.2287,S20260418_180424
2026-04-18,18:57:51,Samedi,Soirée (18h-21h),Connecté,1,1.0855,0.1264,1.2119,S20260418_180424
2026-04-18,18:58:51,Samedi,Soirée (18h-21h),Connecté,1,0.0231,0.0412,0.0643,S20260418_180424
2026-04-18,18:59:51,Samedi,Soirée (18h-21h),Connecté,1,0.0152,0.0226,0.0378,S20260418_180424
2026-04-18,19:00:51,Samedi,Soirée (18h-21h),Connecté,1,0.1055,0.0476,0.1531,S20260418_180424
2026-04-18,19:01:51,Samedi,Soirée (18h-21h),Connecté,1,0.0825,0.0426,0.1251,S20260418_180424
2026-04-18,19:02:51,Samedi,Soirée (18h-21h),Connecté,1,0.0893,0.066,0.1553,S20260418_180424
2026-04-18,19:03:51,Samedi,Soirée (18h-21h),Connecté,1,0.0532,0.0574,0.1106,S20260418_180424
2026-04-18,19:04:51,Samedi,Soirée (18h-21h),Connecté,1,0.045,0.0386,0.0836,S20260418_180424
2026-04-18,19:05:51,Samedi,Soirée (18h-21h),Connecté,1,0.9083,1.1624,2.0707,S20260418_180424
2026-04-18,19:06:52,Samedi,Soirée (18h-21h),Connecté,1,11.8433,0.6266,12.4699,S20260418_180424
2026-04-18,19:07:52,Samedi,Soirée (18h-21h),Connecté,1,0.0533,0.0568,0.1101,S20260418_180424
2026-04-18,19:08:53,Samedi,Soirée (18h-21h),Connecté,1,0.3116,0.679,0.9906,S20260418_180424
2026-04-18,19:09:53,Samedi,Soirée (18h-21h),Connecté,1,0.1811,0.5853,0.7664,S20260418_180424
2026-04-18,19:10:53,Samedi,Soirée (18h-21h),Connecté,1,3.6569,0.2265,3.8834,S20260418_180424
2026-04-18,19:11:54,Samedi,Soirée (18h-21h),Connecté,1,7.4439,0.2842,7.7281,S20260418_180424
2026-04-18,19:12:54,Samedi,Soirée (18h-21h),Connecté,1,0.1903,0.37,0.5603,S20260418_180424
2026-04-18,19:13:54,Samedi,Soirée (18h-21h),Connecté,1,0.1667,0.4028,0.5695,S20260418_180424
2026-04-18,19:14:54,Samedi,Soirée (18h-21h),Connecté,1,0.1155,0.3298,0.4453,S20260418_180424
2026-04-18,19:15:54,Samedi,Soirée (18h-21h),Connecté,1,3.6526,0.3638,4.0164,S20260418_180424
2026-04-18,19:16:54,Samedi,Soirée (18h-21h),Connecté,1,0.2761,0.8303,1.1064,S20260418_180424
2026-04-18,19:17:54,Samedi,Soirée (18h-21h),Connecté,1,0.0435,0.1052,0.1487,S20260418_180424
2026-04-18,19:18:54,Samedi,Soirée (18h-21h),Connecté,1,0.082,0.092,0.174,S20260418_180424
2026-04-18,19:19:54,Samedi,Soirée (18h-21h),Connecté,1,0.0703,0.0711,0.1414,S20260418_180424
2026-04-18,19:20:54,Samedi,Soirée (18h-21h),Connecté,1,0.1669,0.1027,0.2696,S20260418_180424
2026-04-18,19:21:54,Samedi,Soirée (18h-21h),Connecté,1,1.3111,0.1531,1.4642,S20260418_180424
2026-04-18,19:22:54,Samedi,Soirée (18h-21h),Connecté,1,0.1248,0.1353,0.2601,S20260418_180424
2026-04-18,19:23:54,Samedi,Soirée (18h-21h),Connecté,1,0.1565,0.7782,0.9347,S20260418_180424
2026-04-18,19:24:54,Samedi,Soirée (18h-21h),Connecté,1,0.1317,0.4307,0.5624,S20260418_180424
2026-04-18,19:25:54,Samedi,Soirée (18h-21h),Connecté,1,0.0979,0.0616,0.1595,S20260418_180424
2026-04-18,19:26:54,Samedi,Soirée (18h-21h),Connecté,1,0.0727,0.113,0.1857,S20260418_180424
2026-04-18,19:27:54,Samedi,Soirée (18h-21h),Connecté,1,0.0956,0.398,0.4936,S20260418_180424
2026-04-18,19:28:55,Samedi,Soirée (18h-21h),Connecté,1,0.2785,1.1198,1.3983,S20260418_180424
2026-04-18,19:29:55,Samedi,Soirée (18h-21h),Connecté,1,5.8939,0.5379,6.4318,S20260418_180424
2026-04-18,19:30:55,Samedi,Soirée (18h-21h),Connecté,1,1.8463,0.552,2.3983,S20260418_180424
2026-04-18,19:31:55,Samedi,Soirée (18h-21h),Connecté,1,0.0268,0.0373,0.0641,S20260418_180424
2026-04-18,19:32:55,Samedi,Soirée (18h-21h),Connecté,1,0.0709,0.1316,0.2025,S20260418_180424
2026-04-18,19:33:55,Samedi,Soirée (18h-21h),Connecté,1,0.0692,0.0955,0.1647,S20260418_180424
2026-04-18,19:34:55,Samedi,Soirée (18h-21h),Connecté,1,0.0647,0.0882,0.1529,S20260418_180424
2026-04-18,19:35:55,Samedi,Soirée (18h-21h),Connecté,1,0.1318,0.0459,0.1777,S20260418_180424
2026-04-18,19:36:55,Samedi,Soirée (18h-21h),Connecté,1,0.061,0.0694,0.1304,S20260418_180424
2026-04-18,19:37:56,Samedi,Soirée (18h-21h),Connecté,1,0.0325,0.0745,0.107,S20260418_180424
2026-04-18,19:38:56,Samedi,Soirée (18h-21h),Connecté,1,0.0472,0.0419,0.0891,S20260418_180424
2026-04-18,19:39:56,Samedi,Soirée (18h-21h),Connecté,1,0.3343,0.2023,0.5366,S20260418_180424
2026-04-18,19:40:57,Samedi,Soirée (18h-21h),Connecté,1,0.1383,0.0993,0.2376,S20260418_180424
2026-04-18,19:41:57,Samedi,Soirée (18h-21h),Connecté,1,0.9904,0.3421,1.3325,S20260418_180424
2026-04-18,19:42:57,Samedi,Soirée (18h-21h),Connecté,1,0.082,0.0741,0.1561,S20260418_180424
2026-04-18,19:43:57,Samedi,Soirée (18h-21h),Connecté,1,0.0704,0.2178,0.2882,S20260418_180424
2026-04-18,19:44:57,Samedi,Soirée (18h-21h),Connecté,1,0.0559,0.0686,0.1245,S20260418_180424
2026-04-18,19:45:57,Samedi,Soirée (18h-21h),Connecté,1,0.1196,0.0755,0.1951,S20260418_180424
2026-04-18,19:46:57,Samedi,Soirée (18h-21h),Connecté,1,0.4398,0.1402,0.58,S20260418_180424
2026-04-18,19:48:00,Samedi,Soirée (18h-21h),Déconnecté,1,0.1157,0.049,0.1647,S20260418_180424
2026-04-18,19:49:03,Samedi,Soirée (18h-21h),Déconnecté,1,0.0564,0.0507,0.1071,S20260418_180424
2026-04-18,19:50:05,Samedi,Soirée (18h-21h),Connecté,1,4.6025,0.4501,5.0526,S20260418_180424
2026-04-18,19:51:05,Samedi,Soirée (18h-21h),Connecté,1,0.2607,0.5696,0.8303,S20260418_180424
2026-04-18,19:52:05,Samedi,Soirée (18h-21h),Connecté,1,0.1088,0.3178,0.4266,S20260418_180424
2026-04-18,19:53:05,Samedi,Soirée (18h-21h),Connecté,1,0.1028,0.3278,0.4306,S20260418_180424
2026-04-18,19:54:05,Samedi,Soirée (18h-21h),Connecté,1,0.4047,0.1583,0.563,S20260418_180424
2026-04-18,19:55:08,Samedi,Soirée (18h-21h),Déconnecté,1,0.2109,0.6219,0.8328,S20260418_180424
2026-04-18,19:56:38,Samedi,Soirée (18h-21h),Connecté,1,0.0509,0.1277,0.1786,S20260418_195538
2026-04-18,19:57:04,Samedi,Soirée (18h-21h),Connecté,1,0.181,0.4067,0.5877,S20260418_195604
2026-04-18,19:57:38,Samedi,Soirée (18h-21h),Connecté,1,0.16,0.3348,0.4948,S20260418_195538
