date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,20:54:45,Samedi,Soirée (18h-21h),Connecté,1,0.0581,0.314,0.3721,S20260418_205345
2026-04-18,20:55:45,Samedi,Soirée (18h-21h),Connecté,1,0.06,0.0412,0.1012,S20260418_205345
2026-04-18,20:56:45,Samedi,Soirée (18h-21h),Connecté,1,0.0463,0.0358,0.0821,S20260418_205345
2026-04-18,20:57:47,Samedi,Soirée (18h-21h),Connecté,1,0.127,0.0591,0.1861,S20260418_205345
2026-04-18,20:58:47,Samedi,Soirée (18h-21h),Connecté,1,0.0267,0.031,0.0577,S20260418_205345
2026-04-18,20:59:47,Samedi,Soirée (18h-21h),Connecté,1,0.0532,0.0579,0.1111,S20260418_205345
2026-04-18,21:00:47,Samedi,Nuit (21h-00h),Connecté,1,0.0278,0.0326,0.0604,S20260418_205345
2026-04-18,21:01:48,Samedi,Nuit (21h-00h),Connecté,1,0.0323,0.0342,0.0665,S20260418_205345
2026-04-18,21:02:48,Samedi,Nuit (21h-00h),Connecté,1,0.1076,0.0591,0.1667,S20260418_205345
2026-04-18,21:03:48,Samedi,Nuit (21h-00h),Connecté,1,0.018,0.02,0.038,S20260418_205345
2026-04-18,21:04:48,Samedi,Nuit (21h-00h),Connecté,1,0.0362,0.0399,0.0761,S20260418_205345
2026-04-18,21:05:48,Samedi,Nuit (21h-00h),Connecté,1,0.0942,0.0524,0.1466,S20260418_205345
2026-04-18,21:06:49,Samedi,Nuit (21h-00h),Connecté,1,0.0617,0.0473,0.109,S20260418_205345
2026-04-18,21:07:49,Samedi,Nuit (21h-00h),Connecté,1,0.1046,0.0308,0.1354,S20260418_205345
2026-04-18,21:08:49,Samedi,Nuit (21h-00h),Connecté,1,0.0215,0.0269,0.0484,S20260418_205345
2026-04-18,21:09:49,Samedi,Nuit (21h-00h),Connecté,1,0.0634,0.0349,0.0983,S20260418_205345
2026-04-18,21:10:49,Samedi,Nuit (21h-00h),Connecté,1,1.0376,0.2323,1.2699,S20260418_205345
2026-04-18,21:11:50,Samedi,Nuit (21h-00h),Connecté,1,2.4594,0.9264,3.3858,S20260418_205345
2026-04-18,21:12:50,Samedi,Nuit (21h-00h),Connecté,1,1.108,0.2764,1.3844,S20260418_205345
2026-04-18,21:13:50,Samedi,Nuit (21h-00h),Connecté,1,2.28,2.0882,4.3682,S20260418_205345
2026-04-18,21:14:50,Samedi,Nuit (21h-00h),Connecté,1,0.7376,0.1479,0.8855,S20260418_205345
