date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,20:03:17,Samedi,Soirée (18h-21h),Déconnecté,1,0.3211,0.3688,0.6899,S20260418_200214
2026-04-18,20:04:17,Samedi,Soirée (18h-21h),Déconnecté,1,0.1388,0.1661,0.3049,S20260418_200214
2026-04-18,20:05:19,Samedi,Soirée (18h-21h),Connecté,1,0.1853,0.1939,0.3792,S20260418_200214
2026-04-18,20:06:19,Samedi,Soirée (18h-21h),Connecté,1,0.0247,0.0296,0.0543,S20260418_200214
2026-04-18,20:07:19,Samedi,Soirée (18h-21h),Connecté,1,0.0016,0.0032,0.0048,S20260418_200214
2026-04-18,20:08:20,Samedi,Soirée (18h-21h),Connecté,1,0.0216,0.0412,0.0628,S20260418_200214
2026-04-18,20:09:21,Samedi,Soirée (18h-21h),Connecté,1,0.0207,0.0129,0.0336,S20260418_200214
2026-04-18,20:10:21,Samedi,Soirée (18h-21h),Connecté,1,0.0231,0.0201,0.0432,S20260418_200214
2026-04-18,20:11:21,Samedi,Soirée (18h-21h),Connecté,1,0.0024,0.004,0.0064,S20260418_200214
2026-04-18,20:12:22,Samedi,Soirée (18h-21h),Connecté,1,0.0075,0.0074,0.0149,S20260418_200214
2026-04-18,20:13:22,Samedi,Soirée (18h-21h),Connecté,1,0.0118,0.0092,0.021,S20260418_200214
2026-04-18,20:14:22,Samedi,Soirée (18h-21h),Connecté,1,0.0013,0.0019,0.0032,S20260418_200214
2026-04-18,20:15:22,Samedi,Soirée (18h-21h),Connecté,1,0.012,0.0131,0.0251,S20260418_200214
2026-04-18,20:16:23,Samedi,Soirée (18h-21h),Connecté,1,0.0136,0.0145,0.0281,S20260418_200214
2026-04-18,20:17:23,Samedi,Soirée (18h-21h),Connecté,1,0.4252,0.414,0.8392,S20260418_200214
2026-04-18,20:18:24,Samedi,Soirée (18h-21h),Connecté,1,16.5205,4.3064,20.8269,S20260418_200214
2026-04-18,20:19:25,Samedi,Soirée (18h-21h),Connecté,1,99.6496,3.1766,102.8262,S20260418_200214
2026-04-18,20:20:25,Samedi,Soirée (18h-21h),Connecté,1,53.4275,1.4395,54.867,S20260418_200214
2026-04-18,20:21:25,Samedi,Soirée (18h-21h),Connecté,1,0.0251,0.0283,0.0534,S20260418_200214
