date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-20,18:02:17,Lundi,Soirée (18h-21h),Déconnecté,1,2.0588,0.3454,2.4042,S20260420_180114
2026-04-20,18:03:19,Lundi,Soirée (18h-21h),Connecté,1,1.6553,0.3278,1.9831,S20260420_180114
2026-04-20,18:04:22,Lundi,Soirée (18h-21h),Déconnecté,1,2.4337,0.9249,3.3586,S20260420_180114
2026-04-20,18:05:25,Lundi,Soirée (18h-21h),Déconnecté,1,0.3942,0.1696,0.5638,S20260420_180114
2026-04-20,18:06:28,Lundi,Soirée (18h-21h),Déconnecté,1,0.1451,0.1387,0.2838,S20260420_180114
2026-04-20,18:07:28,Lundi,Soirée (18h-21h),Connecté,1,1.4924,0.857,2.3494,S20260420_180114
2026-04-20,18:08:29,Lundi,Soirée (18h-21h),Connecté,1,1.5302,0.8688,2.399,S20260420_180114
2026-04-20,18:09:29,Lundi,Soirée (18h-21h),Connecté,1,2.2546,0.4267,2.6813,S20260420_180114
2026-04-20,18:10:29,Lundi,Soirée (18h-21h),Connecté,1,0.3461,0.1722,0.5183,S20260420_180114
2026-04-20,18:16:25,Lundi,Soirée (18h-21h),Déconnecté,1,1.4402,0.2249,1.6651,S20260420_180114
2026-04-20,18:17:25,Lundi,Soirée (18h-21h),Connecté,1,1.9651,0.7281,2.6932,S20260420_180114
2026-04-20,18:18:25,Lundi,Soirée (18h-21h),Connecté,1,0.0387,0.0784,0.1171,S20260420_180114
2026-04-20,18:19:26,Lundi,Soirée (18h-21h),Connecté,1,0.0544,0.0953,0.1497,S20260420_180114
2026-04-20,18:20:26,Lundi,Soirée (18h-21h),Connecté,1,2.4505,0.2961,2.7466,S20260420_180114
2026-04-20,18:21:27,Lundi,Soirée (18h-21h),Connecté,1,0.0155,0.0389,0.0544,S20260420_180114
2026-04-20,18:22:28,Lundi,Soirée (18h-21h),Connecté,1,2.062,0.5529,2.6149,S20260420_180114
2026-04-20,18:23:28,Lundi,Soirée (18h-21h),Connecté,1,0.5378,0.2846,0.8224,S20260420_180114
2026-04-20,18:24:28,Lundi,Soirée (18h-21h),Connecté,1,2.8185,0.5564,3.3749,S20260420_180114
2026-04-20,18:25:28,Lundi,Soirée (18h-21h),Connecté,1,2.8541,0.3663,3.2204,S20260420_180114
2026-04-20,18:26:28,Lundi,Soirée (18h-21h),Connecté,1,0.6754,0.1175,0.7929,S20260420_180114
